NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=3e7d0f47501c8e0f776dcdcfedeb45ffd6a28d28
| holtwinters-multiplicative/ties | batch  | DIVERGENT    | d1ffb3e9542d465b | 8143c83b84806027 |
| holtwinters-multiplicative/ties | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters-multiplicative/ties | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters-multiplicative/ties | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters-multiplicative/ties | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters-multiplicative/wide | infer  | DIVERGENT    | d01a31af70eb81fc | cd7e2522476e9247 |
| holtwinters-multiplicative/wide | model  | DIVERGENT    | a1b52629bf46db7c | d2b67e4e41efd2ed |
| holtwinters-multiplicative/wide | batch  | DIVERGENT    | 052d4b02ac13150f | 9d7820a2f925275a |
| holtwinters-multiplicative/wide | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters-multiplicative/wide | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters-multiplicative/wide | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters-multiplicative/wide | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/base             | infer  | DIVERGENT    | 44ccc710b68fadca | 481f126d98a72474 |
| holtwinters/base             | model  | DIVERGENT    | 78ff983389a12959 | 6e7391233754b2d9 |
| holtwinters/base             | batch  | DIVERGENT    | c1e9c2f1bda0935e | cecd37f5351dbc02 |
| holtwinters/base             | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/base             | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
