NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9965-192-core-processor is a CPU column: cpu_model='AMD EPYC 9965 192-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_tsa_host'] commit=07201a6149b5f86fad77335ba7219a2588f1e66b
| holtwinters/ties             | infer  | ONE-COLUMN   | dfcedb0048e99751 | REFUSED          |
| holtwinters/ties             | model  | ONE-COLUMN   | c94a8a39b1858c3b | REFUSED          |
| holtwinters/ties             | batch  | DIVERGENT    | d98c7a31d057b190 | 66637f3e1b5e56c1 |
| holtwinters/ties             | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/ties             | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/ties             | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/ties             | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/wide             | infer  | ONE-COLUMN   | a376271e249ed91c | REFUSED          |
| holtwinters/wide             | model  | ONE-COLUMN   | 2171881218e50720 | REFUSED          |
| holtwinters/wide             | batch  | DIVERGENT    | 782f89106b8b9c8f | cba30972e9bbd237 |
| holtwinters/wide             | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/wide             | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/wide             | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/wide             | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/base | infer  | ONE-COLUMN   | f64346115fd1e485 | REFUSED          |
| par-forecast-holtwinters/base | model  | ONE-COLUMN   | 574f8ee721ff8cb1 | REFUSED          |
| par-forecast-holtwinters/base | batch  | BATCH_MOVED  | 5a24aebcd557a49d | BATCH_MOVED      |
| par-forecast-holtwinters/base | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/base | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/base | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/base | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/denormal | infer  | ONE-COLUMN   | c510c55d7fe7634c | REFUSED          |
| par-forecast-holtwinters/denormal | model  | ONE-COLUMN   | 4aa7580e6078aafc | REFUSED          |
| par-forecast-holtwinters/denormal | batch  | BATCH_MOVED  | e9ecaede17a9e007 | BATCH_MOVED      |
| par-forecast-holtwinters/denormal | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/denormal | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/denormal | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/denormal | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
