name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	1000.218	0.5000
envelope.blocks_backward	1.0	521.095	0.2605
envelope.blocks_forward	1.0	254.997	0.1275
bwd.mlp_through_oproj	12.0	249.153	0.1246
bwd.attention	12.0	181.670	0.0908
block.attention_total	12.0	142.461	0.0712
block.mlp_and_residuals	12.0	107.517	0.0538
bwd.after_attention	12.0	90.175	0.0451
attn.core	12.0	80.648	0.0403
step.head_backward_da	1.0	80.099	0.0400
gemm.head_dA	1.0	80.089	nan
attn.fwd_r2_keep_kernel	12.0	77.427	0.0387
gemm.gateup_dA	24.0	76.896	nan
attn.bwd_dq_tiled_pf	12.0	74.091	0.0370
gemm.gateup_dB	24.0	70.484	nan
attn.bwd_kvgrid_dkdv_pf	12.0	67.796	0.0339
gemm.gateup_fwd	24.0	62.002	nan
gemm.proj_dA	48.0	61.641	nan
gemm.proj_fwd	48.0	59.521	nan
step.head_forward	1.0	56.458	0.0282
gemm.head_fwd	1.0	56.436	nan
step.head_backward_db	1.0	55.140	0.0276
gemm.head_dB	1.0	55.136	nan
gemm.proj_dB	48.0	49.179	nan
attn.qkv_proj	12.0	44.822	0.0224
grad.up_dA	12.0	38.481	0.0192
grad.gate_dA	12.0	38.415	0.0192
fwd.down_proj	12.0	38.293	0.0191
gemm.down_fwd	12.0	38.293	nan
gemm.down_dB	12.0	35.834	nan
grad.down_dB	12.0	35.834	0.0179
grad.gate_dB	12.0	35.497	0.0177
attn.bwd_zdot_estash_dres_pf	12.0	35.152	0.0176
grad.up_dB	12.0	34.987	0.0175
fwd.up_proj	12.0	31.467	0.0157
gemm.down_dA	12.0	30.843	nan
grad.down_dA	12.0	30.843	0.0154
fwd.gate_proj	12.0	30.535	0.0153
grad.q_dA	12.0	16.018	0.0080
grad.k_dA	12.0	15.507	0.0078
grad.o_dA	12.0	15.075	0.0075
attn.o_proj	12.0	15.074	0.0075
grad.v_dA	12.0	15.041	0.0075
fwd.o_proj	12.0	14.952	0.0075
fwd.q_proj	12.0	14.863	0.0074
fwd.v_proj	12.0	14.858	0.0074
fwd.k_proj	12.0	14.847	0.0074
grad.v_dB	12.0	12.572	0.0063
grad.q_dB	12.0	12.313	0.0062
step.ce_forward	1.0	12.232	0.0061
grad.o_dB	12.0	12.195	0.0061
grad.k_dB	12.0	12.099	0.0060
step.embedding_backward	1.0	8.786	0.0044
block.norm1	12.0	4.960	0.0025
fwd.norm1	12.0	3.804	0.0019
fwd.norm2	12.0	3.776	0.0019
attn.bwd_regime_scan	12.0	3.446	0.0017
step.ce_backward	1.0	3.104	0.0016
step.validate_after_scan	1.0	2.605	0.0013
grad.norm2_kernels	12.0	2.486	0.0012
attn.fwd_regime_scan	12.0	2.485	0.0012
grad.norm1_kernels	12.0	2.334	0.0012
grad.gate_mul	12.0	1.958	0.0010
attn.rope_and_cache	12.0	1.881	0.0009
step.optimizer	1.0	1.634	0.0008
step.ce_refuse_scan	1.0	1.498	0.0007
gemm.norm_dW	24.0	1.455	nan
grad.rope	12.0	1.213	0.0006
fwd.refuse_call	12.0	1.046	0.0005
fwd.silu	12.0	1.038	0.0005
fwd.gate_mul	12.0	1.004	0.0005
attn.bwd_corner_flag	12.0	0.786	0.0004
grad.norm2_dW	12.0	0.732	0.0004
grad.norm1_dW	12.0	0.723	0.0004
step.unpack_weights	1.0	0.703	0.0004
step.pack_grads	1.0	0.698	0.0003
grad.refuse_scan	12.0	0.669	0.0003
grad.kv_slice	12.0	0.641	0.0003
step.validate_grads_scan	1.0	0.579	0.0003
attn.fwd_corner_flag	12.0	0.568	0.0003
grad.qkv_fanin	12.0	0.502	0.0003
grad.gateup_fanin	12.0	0.470	0.0002
fwd.residual2_add	12.0	0.467	0.0002
fwd.residual1_add	12.0	0.458	0.0002
grad.residual2_copy	12.0	0.451	0.0002
grad.x_add	12.0	0.451	0.0002
attn.bwd_scratch_alloc	12.0	0.228	0.0001
step.upload_inputs	1.0	0.159	0.0001
step.py_flags	1.0	0.115	0.0001
step.embedding_forward	1.0	0.092	0.0000
step.loss_download	1.0	0.038	0.0000
grad.silu	12.0	0.014	0.0000
step.bind_publish	1.0	0.011	0.0000
grad.o_copy	12.0	0.010	0.0000
grad.residual1_add	12.0	0.010	0.0000
bwd.before_attention	12.0	0.008	0.0000
step.bind_final_sync	1.0	0.001	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 2000.264 ms a shard; gemm.* 677.808 ms a shard
