Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
47.4,451840839,342,1321172.0,468640.5,462464,31539469,3941683.7,gemm_checks_gemm_identical_id6A6A6A6A6A6A_6e0e904c41851a9e
14.3,136067926,168,809928.1,482816.5,479776,1258176,380068.9,gemm_checks_gemm_identical_id6A6A6A6A6A6A_4756606400325dd8
9.0,85572257,24,3565510.7,3565361.5,3555970,3575105,4473.5,transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
7.1,67836924,24,2826538.5,2826337.0,2817730,2836833,5098.0,transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
6.1,58333688,24,2430570.3,2430753.0,2426145,2436257,2679.5,transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
5.3,50514451,24,2104768.8,2103905.0,2100416,2112801,2989.0,transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
1.3,11997925,2,5998962.5,5998962.5,5988291,6009634,15091.8,gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
1.2,11623873,196,59305.5,8383.5,1600,1315424,183672.3,core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
0.9,8870578,168,52801.1,44384.0,43104,65088,10141.2,gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
0.9,8549928,48,178123.5,178880.5,167808,188512,6137.6,transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
0.5,4485058,2,2242529.0,2242529.0,2242177,2242881,497.8,training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
0.5,4481282,2,2240641.0,2240641.0,2240417,2240865,316.8,training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
0.5,4313569,24,179732.0,179616.0,178304,181504,868.4,transformer_checks_transformer6A6A6A6A_701f75a72b36f978
0.4,4036260,168,24025.4,23536.0,21537,29088,2166.2,transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
0.4,3963943,48,82582.1,82560.0,81216,84064,559.6,transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
0.4,3826274,2,1913137.0,1913137.0,1912961,1913313,248.9,training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
0.4,3490208,2,1745104.0,1745104.0,1742080,1748128,4276.6,training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
0.4,3393790,48,70704.0,70720.0,70560,70880,88.5,transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
0.4,3350751,48,69807.3,69792.0,69632,70144,128.2,transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
0.3,2817214,48,58692.0,58896.0,49664,67840,8474.9,transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
0.2,2065793,4,516448.3,516480.5,516192,516640,202.6,core_device_scan_negative_part6A6A6A6A_c691e2646998e577
0.2,1947042,24,81126.8,81200.0,80544,81632,320.9,transformer_impl_llama_modeli6A6A6A6A6A6A_4bcd8fe7b706401a
0.2,1936834,24,80701.4,80784.0,80320,81088,243.8,transformer_impl_llama_modeli6A6A6A6A6A6A_1ab8d6c2c317d533
0.2,1731617,2,865808.5,865808.5,865601,866016,293.4,embedding_checks_embedding_ide6A6A6A6A_7c4e8ec94604f999
0.2,1668448,24,69518.7,69535.5,69280,69921,186.9,transformer_checks_transformer6A6A6A6A_e0aadbba61216e38
0.2,1578879,24,65786.6,65807.5,65537,65984,114.3,transformer_impl_llama_modeli6A6A6A6A6A6A_d15039e611f15d2f
0.2,1550945,48,32311.4,32335.5,31552,34049,627.3,mamba_impl_modeling_modeling_6A6A6A6A6A6A_7bdf59c912a151a2
0.2,1530976,2,765488.0,765488.0,764864,766112,882.5,training_checks_loss_ce_row_m6A6A6A6A6A6A_997b99fb729e07d6
0.2,1519104,48,31648.0,31616.0,31072,32736,434.3,transformer_checks_transformer6A6A6A6A_6755bf37231227cb
0.2,1517756,48,31619.9,31504.0,31264,32384,294.9,transformer_checks_transformer6A6A6A6A_9ffe5e8f5d25dc0e
0.2,1468609,8,183576.1,183648.0,183137,183904,285.4,training_checks_train_loop_tr6A6A6A6A6A6A_801597e5bf0ab752
0.1,1136832,24,47368.0,47296.0,47104,47776,209.4,training_byte_lm_block_copy__b6A6A6A6A_4f839612f5023304
0.1,1133666,24,47236.1,47248.0,44320,48320,710.8,training_byte_lm_block_copy__b6A6A6A6A_55bde5b169c3b214
0.1,953149,24,39714.5,39599.5,39136,40448,421.8,transformer_checks_transformer6A6A6A6A_5f42150e59e36fb0
0.1,912096,48,19002.0,19024.0,17952,20129,523.0,gemm_checks_gemm_identical_id6A6A6A6A6A6A_99adfa7b2bcdfe0e
0.1,739713,24,30821.4,30816.0,30688,30976,63.6,transformer_checks_transformer6A6A6A6A_c48a0c1f6177d9d0
0.1,657569,2,328784.5,328784.5,328737,328832,67.2,embedding_checks_embedding_ide6A6A6A6A_8abd8314df0ff543
0.0,239968,2,119984.0,119984.0,119360,120608,882.5,embedding_checks_embedding_ide6A6A6A6A_b184d11bcef68fe0
0.0,183744,2,91872.0,91872.0,91776,91968,135.8,embedding_checks_embedding_ide6A6A6A6A_4fb48ea6c937e0eb
0.0,168257,50,3365.1,3392.5,1856,3872,323.3,gemm_checks_gemm_identical_id6A6A6A6A6A6A_55fe6c135aba7469
0.0,140993,2,70496.5,70496.5,70401,70592,135.1,embedding_checks_embedding_ide6A6A6A6A_5cfa05e12c6f7255
0.0,70336,2,35168.0,35168.0,34912,35424,362.0,embedding_checks_embedding_ide6A6A6A6A_a7ec9023618e6adf
0.0,12608,2,6304.0,6304.0,6272,6336,45.3,gemm_checks_gemm_identical_id6A6A6A6A6A6A_d3026edf3dadc3c0
0.0,5184,2,2592.0,2592.0,2432,2752,226.3,training_checks_loss_ce_nll_k6A6A6A6A6A6A_2c9bba806d31a4e3
0.0,3136,2,1568.0,1568.0,1440,1696,181.0,training_checks_loss_ce_logde6A6A6A6A6A6A_d35a11b1836f73dc
0.0,2688,2,1344.0,1344.0,1344,1344,0.0,training_checks_loss_ce_divid6A6A6A6A6A6A_05fcd2ee21816cf8
0.0,2688,2,1344.0,1344.0,1344,1344,0.0,training_checks_loss_ce_row_n6A6A6A6A6A6A_2bb60afb8c8084e0
0.0,1760,1,1760.0,1760.0,1760,1760,0.0,transformer_impl_llama_modeli6A6A6A6A6A6A_fd7a940bfe0354a7
