NOTE: --lanes scopes this diff to 2 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_tokenizer_host'] commit=081e14fa9da0f5413aa557af52852f092a307eb4
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_tokenizer_host'] commit=081e14fa9da0f5413aa557af52852f092a307eb4
| lane/fixture                 | verdict    | cpu-apple-m4     | cpu-apple-m4     |
| bpe-vocabulary/wide          | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/base        | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/base        | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/base        | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/denormal    | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/denormal    | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/denormal    | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/denormal_ftz | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/denormal_ftz | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/denormal_ftz | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/dupes       | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/dupes       | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/dupes       | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/hashed      | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/hashed      | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/hashed      | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/negative    | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/negative    | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/negative    | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/odd         | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/odd         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/odd         | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/ties        | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/ties        | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/ties        | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |
| tokenized-corpus/wide        | infer  | N/A          | n/a:function     | n/a:function     |
| tokenized-corpus/wide        | model  | N/A          | n/a:no-save      | n/a:no-save      |
| tokenized-corpus/wide        | batch  | N/A          | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) | n/a:corpus-global-vocabulary-training (pair counts depend on the complete corpus; no per-row output) |

summary (infer/model): N/A=36
summary (batch): N/A=18
summary (rlpair): 
