# DEVIATION 2630 step breakdown; ms per step, median over the timed steps
# gpu: NVIDIA H100 80GB HBM3, 580.126.09, 81559 MiB, 9.0, 5, 16, 700.00 W, 31, 1980 MHz, GPU-6ba9b52d-1dbd-23cc-e297-f09331d8896f
# host: model name	: Intel(R) Xeon(R) Platinum 8480+ | nproc=2 | 6.8.0-106-generic
corpus	kind	component	parent	depth	ms_per_step_median	share_of_envelope	lines_per_step	launches_per_step	syncs_per_step	note
enwik8	leaf	grad.o_dA	bwd.mlp_through_oproj	3	3.298	0.0110	12	24.0	48.0	
enwik8	leaf	grad.o_dB	bwd.mlp_through_oproj	3	3.256	0.0109	12	24.0	48.0	
enwik8	remainder	remainder:bwd.mlp_through_oproj	bwd.mlp_through_oproj	3	1.378	0.0046				parent minus its children per step, then the median
enwik8	leaf	bwd.before_attention	envelope.blocks_backward	2	0.018	0.0001	12			
enwik8	parent	bwd.attention	envelope.blocks_backward	2	93.851	0.3131	12			
enwik8	leaf	attn.bwd_corner_flag	bwd.attention	3	0.319	0.0011	12			
enwik8	leaf	attn.bwd_dkdv_tiled_pf	bwd.attention	3	12.484	0.0416	12			
enwik8	leaf	attn.bwd_dq_tiled_pf	bwd.attention	3	12.598	0.0420	12			
enwik8	leaf	attn.bwd_regime_scan	bwd.attention	3	1.578	0.0053	12			
enwik8	leaf	attn.bwd_scratch_alloc	bwd.attention	3	0.140	0.0005	12			
enwik8	leaf	attn.bwd_zdot_stash_pf	bwd.attention	3	66.645	0.2223	12			
enwik8	remainder	remainder:bwd.attention	bwd.attention	3	0.062	0.0002				parent minus its children per step, then the median
enwik8	parent	bwd.after_attention	envelope.blocks_backward	2	24.452	0.0816	12			
enwik8	leaf	grad.kv_slice	bwd.after_attention	3	0.498	0.0017	12	24.0	12.0	
enwik8	leaf	grad.rope	bwd.after_attention	3	0.552	0.0018	12	24.0	12.0	
enwik8	leaf	grad.q_dB	bwd.after_attention	3	3.281	0.0109	12	24.0	48.0	
enwik8	leaf	grad.k_dB	bwd.after_attention	3	3.255	0.0109	12	24.0	48.0	
enwik8	leaf	grad.v_dB	bwd.after_attention	3	3.242	0.0108	12	24.0	48.0	
enwik8	leaf	grad.q_dA	bwd.after_attention	3	3.270	0.0109	12	24.0	48.0	
enwik8	leaf	grad.k_dA	bwd.after_attention	3	3.279	0.0109	12	24.0	48.0	
enwik8	leaf	grad.v_dA	bwd.after_attention	3	3.276	0.0109	12	24.0	48.0	
enwik8	leaf	grad.qkv_fanin	bwd.after_attention	3	0.220	0.0007	12	12.0	12.0	
enwik8	leaf	grad.norm1_kernels	bwd.after_attention	3	2.015	0.0067	12	36.0	36.0	
enwik8	leaf	grad.norm1_dW	bwd.after_attention	3	0.398	0.0013	12	24.0	24.0	
enwik8	leaf	grad.x_add	bwd.after_attention	3	0.211	0.0007	12	12.0	12.0	
enwik8	remainder	remainder:bwd.after_attention	bwd.after_attention	3	0.967	0.0032				parent minus its children per step, then the median
enwik8	remainder	remainder:envelope.blocks_backward	envelope.blocks_backward	2	0.125	0.0004				parent minus its children per step, then the median
enwik8	leaf	step.embedding_backward	envelope.native_call	1	2.522	0.0084	1			
enwik8	leaf	step.pack_grads	envelope.native_call	1	1.118	0.0037	1			
enwik8	leaf	step.validate_grads_scan	envelope.native_call	1	0.555	0.0019	1			
enwik8	leaf	step.shadow_copy	envelope.native_call	1	2.308	0.0077	1			
enwik8	leaf	step.opt_refuse_scan	envelope.native_call	1	2.176	0.0073	1			
enwik8	leaf	step.optimizer	envelope.native_call	1	1.714	0.0057	1			
enwik8	leaf	step.validate_after_scan	envelope.native_call	1	2.150	0.0072	1			
enwik8	leaf	step.bind_final_sync	envelope.native_call	1	0.002	0.0000	1			
enwik8	leaf	step.bind_publish	envelope.native_call	1	0.015	0.0001	1			
enwik8	remainder	remainder:envelope.native_call	envelope.native_call	1	0.364	0.0012				parent minus its children per step, then the median
enwik8	category	gemm (every GEMM call, head and RMSNorm weight gradients included)	envelope.native_call	1	144.900	0.4833				leaves summed per step, then the median
enwik8	category	attention kernels (fused launchers, regime scans, corner flags)	envelope.native_call	1	116.226	0.3877				leaves summed per step, then the median
enwik8	category	refusal and validation scans	envelope.native_call	1	6.356	0.0212				leaves summed per step, then the median
enwik8	category	rmsnorm forward	envelope.native_call	1	6.139	0.0205				leaves summed per step, then the median
enwik8	category	remainders (timer prints, host work between ticks, untimed code)	envelope.native_call	1	4.262	0.0142				leaves summed per step, then the median
enwik8	category	rmsnorm backward kernels (weight gradient GEMM under gemm)	envelope.native_call	1	4.045	0.0135				leaves summed per step, then the median
enwik8	category	adamw update and its shadow copy	envelope.native_call	1	4.022	0.0134				leaves summed per step, then the median
