test_arima_surface	1	1
test_cholesky_surface	0	1
test_embedding_surface	0	0
test_gmm_sample	0	1
test_gp_optimizer	0	3
test_gp_sample_y	0	0
test_gp_surface	0	0
test_hdbscan_surface	0	0
test_ivf_surface	0	1
test_kernel_methods_surface	0	1
test_kmeans_metric_surface	0	1
test_kmeans_predict	0	0
test_kmeans_transform	0	1
test_linalg_identity	2	0
test_mamba_surface	1	0
test_mixture_surface	0	1
test_resample_surface	0	0
test_rf_leaf_budget	0	1
test_samba_surface	0	15
test_spectral_predict	0	2
test_svr_surface	0	11
test_training_primitives_surface	0	1
test_training_surface	1	1
test_transductive_predict	0	0
test_transformer_hd128	0	1
test_transformer_surface	1	0
