| lane/fixture                 | verdict    | box-arch-2710    | box-arch-2710dead |
|------------------------------|------------|------------------|------------------|
| gbdt-lossguide/wide          | model  | IDENTICAL x2 | 0b24cabbdbb1f867 | 0b24cabbdbb1f867 |
| gbdt-ordered-rmse/base       | infer  | IDENTICAL x2 | 3113f83d552f6e3e | 3113f83d552f6e3e |
| gbdt-ordered-rmse/base       | model  | IDENTICAL x2 | 43540d21322226ab | 43540d21322226ab |
| gbdt-ordered-rmse/denormal   | infer  | IDENTICAL x2 | 52d52c2862c2d480 | 52d52c2862c2d480 |
| gbdt-ordered-rmse/denormal   | model  | IDENTICAL x2 | ba60376e07b69433 | ba60376e07b69433 |
| gbdt-ordered-rmse/denormal_ftz | infer  | IDENTICAL x2 | 9f09dbf44c4ea866 | 9f09dbf44c4ea866 |
| gbdt-ordered-rmse/denormal_ftz | model  | IDENTICAL x2 | 7997d9773285efc3 | 7997d9773285efc3 |
| gbdt-ordered-rmse/dupes      | infer  | IDENTICAL x2 | 957a66a8423c3f6d | 957a66a8423c3f6d |
| gbdt-ordered-rmse/dupes      | model  | IDENTICAL x2 | c73190381d66d9bf | c73190381d66d9bf |
| gbdt-ordered-rmse/hashed     | infer  | IDENTICAL x2 | 405de4dd63f5341a | 405de4dd63f5341a |
| gbdt-ordered-rmse/hashed     | model  | IDENTICAL x2 | e3e28f37057e2029 | e3e28f37057e2029 |
| gbdt-ordered-rmse/negative   | infer  | IDENTICAL x2 | 82e128c769eb2778 | 82e128c769eb2778 |
| gbdt-ordered-rmse/negative   | model  | IDENTICAL x2 | 91ecd6c2cdf861d2 | 91ecd6c2cdf861d2 |
| gbdt-ordered-rmse/odd        | infer  | IDENTICAL x2 | c7f0cb99b920a716 | c7f0cb99b920a716 |
| gbdt-ordered-rmse/odd        | model  | IDENTICAL x2 | 4d02412a6fa569f9 | 4d02412a6fa569f9 |
| gbdt-ordered-rmse/ties       | infer  | IDENTICAL x2 | ca0189610e51bc17 | ca0189610e51bc17 |
| gbdt-ordered-rmse/ties       | model  | IDENTICAL x2 | f9192cb03ecc6ece | f9192cb03ecc6ece |
| gbdt-ordered-rmse/wide       | infer  | IDENTICAL x2 | 7172e83c3f745933 | 7172e83c3f745933 |
| gbdt-ordered-rmse/wide       | model  | IDENTICAL x2 | a9b709a9373fae6f | a9b709a9373fae6f |
| gbdt-rmse/base               | infer  | IDENTICAL x2 | ba6284898fcd7adb | ba6284898fcd7adb |
| gbdt-rmse/base               | model  | IDENTICAL x2 | 6a7e0d174aadda21 | 6a7e0d174aadda21 |
| gbdt-rmse/denormal           | infer  | IDENTICAL x2 | 86db747723f31263 | 86db747723f31263 |
| gbdt-rmse/denormal           | model  | IDENTICAL x2 | 70624119eb3559b1 | 70624119eb3559b1 |
| gbdt-rmse/denormal_ftz       | infer  | IDENTICAL x2 | 86db747723f31263 | 86db747723f31263 |
| gbdt-rmse/denormal_ftz       | model  | IDENTICAL x2 | 70624119eb3559b1 | 70624119eb3559b1 |
| gbdt-rmse/dupes              | infer  | IDENTICAL x2 | da755bd965b6c511 | da755bd965b6c511 |
