step	lr_f32_hex	loss_mean	seconds	hash_seconds	state_sha256	gradient_sha256	losses_sha256_16	hash_scheme	label
23	3867868c	8.686160	19.485	6.627	58fb8a418ae368cdefe9a2af2bb2a2175c57b58116c889d94217fabcf1fba44f	0768d2888eff8450747953d503aa833fb9d311a283c53dff2f11989008686c65	2588e1515c59fa2b	sliced-sha256-8.v2	nvidia-A-1
24	38719787	8.618403	19.476	7.119	50a7ff4b7b564affdaf938c5bde9eae1ed18accd6dfdd3d3a3ed4fa3a193c57e	83a05ca657f787fc4d02a5f7c0fdf5bd0d415cd663924330071a4af0117fc345	31386bda0332fbcb	sliced-sha256-8.v2	nvidia-A-1
25	387ba882	8.513196	19.476	6.931	5ed3dc5a87735ece166d55de5f186e45e9bb3d800b6b2758e134b8d13175403a	7fad9c7376562ad4cdde3c0c17ffaeff7a0e6b05b5777b4de79e790a5fff06dd	1d1e338eec513c81	sliced-sha256-8.v2	nvidia-A-1
26	3882dcbf	8.431491	19.487	6.545	99557350c7e3ed7111442644a2a85cd8d2fab66c1a9390aca391a9d13774ff3e	a8f209b884d6c98e8f34a16eda549843a929c7c3ed11c449ff28e407857b27c0	98a1266ff8903b65	sliced-sha256-8.v2	nvidia-A-1
27	3887e53c	8.409094	19.485	6.571	654706aec9c0708a867ce2226fb3c8baf70631a7412b22dc31aafd63a40d8771	86536d985e9d10ad45490010d71d54c4a0a351fafd8bcd5d5b2b20f5a69041d9	3b1257efc52584ab	sliced-sha256-8.v2	nvidia-A-1
28	388cedba	8.272386	19.477	6.680	a91515d84ab33f2eaa2b772e217553c7289430734ea1715ecfdc62439444573f	87a740104147e0e0d5e9ba98e2778578adc5fa1e0dbfed85d730b3895bb8e894	0e524317ebb1494a	sliced-sha256-8.v2	nvidia-A-1
29	3891f637	8.197694	19.484	6.589	d00a93aa0136a52857f45bea3983db8ab6dcd48fa23d3f7ff5e6bce16fcfbdb6	064ea7445ded8ab0ae9b2366254de3c002ace6c28b221240c8bc339bb4a12525	9981d912ff897d8b	sliced-sha256-8.v2	nvidia-A-1
30	3896feb5	8.181844	19.486	6.614	d2ca71e05afd96fa3324128bbb750a6483a34e9a90d8cb7a97dd449e88a36f91	7e8fbdced1ad93695cc10003b2dfe62078083233f432c185cd92c2baa9e462c3	c068a566d48966ae	sliced-sha256-8.v2	nvidia-A-1
31	389c0732	8.088935	19.479	6.984	f3a2e07a4b28bebee6e057dc837fde4a2ba838a4b2d79c364ffd5dca1da16efc	3c97dd2125ee2426869a8acd09b2cecedebc45abd888ce3e1c4c64a44d007b8c	9f912f8e907f8a87	sliced-sha256-8.v2	nvidia-A-1
32	38a10fb0	8.005398	19.481	6.638	953647bd8ca7b24e4b18a37803af132a73ae0a256c8fb29e268248b7b0549389	732585c22fe2bbd9baef3d1b1a8e4a7bf3fbebb15b93e12d956fe93a114ae2ec	5d03a5b82b4a49e9	sliced-sha256-8.v2	nvidia-A-1
33	38a6182d	7.989112	19.484	6.565	a8e98f01974084d43ab8353ece0b2efe05efebdba40b51a7c02ed5830fded692	9f77f3181163e4c61bb9b2567c32bd251f4dac359a2e73dbeca95644e0abc8cd	3917c3d0dae8720e	sliced-sha256-8.v2	nvidia-A-1
34	38ab20ab	7.959075	19.491	6.494	1c130fb5fe1678141a2d3fc8af148f315e2cbb0800f897c06d5a545efb918b8d	95dda353fe8784f16385b24d010ab570981e50bf8f02c2f0cc799270832b19b1	c1102b2ece33c543	sliced-sha256-8.v2	nvidia-A-1
35	38b02928	7.842679	19.477	7.057	98094e79cbac53eca68bd14d04687c3428980ca7c4d34cefe908b0a62dff574b	5cd1e0ea012bba079387e30d1a514d298571a58cc039db97109debccab2af9c0	d12a580bf4992dfb	sliced-sha256-8.v2	nvidia-A-1
36	38b531a6	7.804183	19.480	6.640	7e9f35712e7d5322b97700db7fbd25931a6c3e6d21f9f071d048926fd40cfc00	232041baf8fac410a8cd6eb58740709c5a75cad99270123d832c0fa0c4db5afb	fa1efa376eb4bb03	sliced-sha256-8.v2	nvidia-A-1
37	38ba3a23	7.875500	19.490	6.771	ad317be5e61e862689ca6dbc57dea1411dd2716651195f6d82e3d13166acc505	cb02ea68cfe0f09b37eec56751f99696f8170a7a12653304a31f132ed6492203	dde188b01a114d9b	sliced-sha256-8.v2	nvidia-A-1
38	38bf42a1	7.749014	19.597	6.847	14f5931abcc0f5400fa56c361469d38150780120432e31c0344ba0ee37051472	1ef0c169c6986dd0009645d8c103aafc62cc11c498e1c31de0099c219153a1cf	66715dbf690b3648	sliced-sha256-8.v2	nvidia-A-1
39	38c44b1e	7.765035	19.475	6.718	e03b3d1df401bdad5b856d4894de8b9b914c1274c24f408cf1b2bc9e7807e200	8b68070e4cd0364e4019f080e10025acba6a58bb2d2d1ac210ee97f2bed534b9	93ae1417c35f7705	sliced-sha256-8.v2	nvidia-A-1
40	38c9539c	7.771218	19.519	6.729	7ce8a1926965fea12b8dad41b2ba475d139af9788bdbf509670223e84ca2d56e	44e709a154d653df20d56f9c0b35b9b524ab375ef1c906a6625e21f91add7903	d0fc7872195e4641	sliced-sha256-8.v2	nvidia-A-1
41	38ce5c19	7.675306	19.505	6.733	05f6749c026a97242099ef81c531ded394758d428da139057080b0192c7a72b5	1473d049fd5cdb221aa1121b2a8d1e0e24a21ad3e6b64d7327ec71c48dc16302	3c1242ca950707c3	sliced-sha256-8.v2	nvidia-A-1
42	38d36497	7.745921	19.491	7.474	4cf8a2028137747217ad1d3dc82b22a7cb3c5756b74b625a4a73495bdd6eed9f	1c10ee76203c5a03548470949571b57d2da5c038ad4f1694a0a4645262b8537c	8038736a5b4a21f2	sliced-sha256-8.v2	nvidia-A-1
43	38d86d14	7.692973	19.480	7.063	3e6f9648041ab5b034cd9ba5c2f232fcba01c1e78dc8f54a005ec3beaa25af1e	2fe62dec308e00c43774ea23811720a83c9c7a0cc9f7fa2a78901679847b44f1	503f0ebc29c87416	sliced-sha256-8.v2	nvidia-A-1
44	38dd7591	7.639780	19.512	7.328	1ca6f9a71f19a2ddaf168935dc39de2a81976fe1b6698a4b50c40af1f3c28461	0f2321034c4a1acf7987d66bce0fccea3ba1db400163c00e8e1f0f37415017bd	8e4c819d6a6ec4f3	sliced-sha256-8.v2	nvidia-A-1
45	38e27e0f	7.561934	19.627	6.856	9d520549b1a13740e92104c1bb9c1573b7115577393dfac2a28e10d9bc628ae0	733289614102877d3e19e83a247c83d8a7cc5693ccd6527dbb77cd9b55b21deb	0c6f9a575722edb7	sliced-sha256-8.v2	nvidia-A-1
46	38e7868c	7.618842	19.477	7.313	16e4192a39f7f41ac7b98962a373d81deafb5b639801da2a5ca57096ef83ed5b	011632971068b3805e236a74c02b87ce2b3aa56c7e41c5e4d753d687640e1779	80620d7b9a24de3b	sliced-sha256-8.v2	nvidia-A-1
47	38ec8f0a	7.587928	19.513	6.895	3058b70c23f7fb02a645b6f5841df06c57cd69689b047d186cdc3e89dd33f610	3fa5052626be74ed2c46f39fdfb286822ffbb4b74b53d9d1436abd8686f80900	704a0f832336be08	sliced-sha256-8.v2	nvidia-A-1
48	38f19787	7.674729	19.495	6.644	966a3a3851c4dc1372e2e288683e548cf3c0b357d47b70f1349e5111496e722f	5a21c073bd83ec761ed92d90e8a3d6f88cebe653068e340e6b0529ba212d1589	09f85b78254ddeba	sliced-sha256-8.v2	nvidia-A-1
49	38f6a005	7.646413	19.496	6.636	9ab348db4f68894f3ade19fd0d4af76637fe83838a2779edea85f9ee50c7296e	3a7050c473d655b3a78b22e063d88e32c382e42f5a08c38c2e5cdcbfaeceb818	ed234ed1b832fc83	sliced-sha256-8.v2	nvidia-A-1
50	38fba882	7.701427	19.501	7.004	b7d3a1b1d7d7a3abd870b8f655f3e2ff6969f5837629c2f5a8e5e934076f56e9	e0210d5862398d1b98e5e5da171cfd98d3a09c05d5433cbca57a94c97c53ab22	a2eb15e288fd3117	sliced-sha256-8.v2	nvidia-A-1
51	39005880	7.616036	19.516	6.689	39e447811248f2488708f5a2f2eb344f39aec0f11cd5e8f3e02b7decd4782da6	35d0ee4eaa6e11198392bab695ed3661a61f7e7899fe6ee6ed110efb3214ab2c	73dc34f6769b07b6	sliced-sha256-8.v2	nvidia-A-1
52	3902dcbf	7.753018	19.509	6.539	207958c5fdf77c9a68953b0f4302b35d1cc73781a777e155ec00dfb25e06255d	5885c9ad9292bd9069e5975fb1440d3fb774dc39b1a6835e483a316281a6816e	d4e66fd08a37839d	sliced-sha256-8.v2	nvidia-A-1
53	390560fd	7.752255	19.500	6.638	acdfd6ffa1ee1c8875b653209a38dc5c12b8ba79e55726f67fe451e13a4e59f3	ca28e3e54d40e2814e5f65eedaf246e40c007f1481250932a03d67d3d78f8329	b14fba1cea9d00dd	sliced-sha256-8.v2	nvidia-A-1
54	3907e53c	7.830913	19.511	6.745	b8e446ef942200cd8deaf3fe7910d578ecbb235c8d6746810f8efd8fbe63e322	20bdf4018aa3b6c268f8f6c783b60675e5f7b9d791901c107cf6b7fd120b0c33	a0e3154e08faa3e2	sliced-sha256-8.v2	nvidia-A-1
55	390a697b	7.816108	19.496	6.568	003d4a4b0289abaf9d821582dbdb47872abf08ddb710e20fa67c48be135d0aa7	f2279913997d0a93aff6f0569873af53cb6a34e030e350211fde48cfa5775014	b0520cb22d6f67ae	sliced-sha256-8.v2	nvidia-A-1
56	390cedba	7.658852	19.496	6.678	ffeb6dc817d1fecb59b68cef17a622f3b090512ed161e8aea0bf73bd626a6eaf	9b033bd2adf6d025fa076596d3802a24373cbe14a426fa4ad473d1f438908362	207a35384b36b057	sliced-sha256-8.v2	nvidia-A-1
57	390f71f8	7.619008	19.492	6.941	7075a20e5eb7d676d83b9fb792b65860151aa5792bdf482e13b77cd2237f2f5d	ccb0ac8f90ac8027b216c92e85a42401eee9a573745f3277e392dfb0275578ed	d59ac7008f6cca1e	sliced-sha256-8.v2	nvidia-A-1
58	3911f637	7.703674	19.487	6.669	9af8b188be07c5cfb1c86b3a9787f3311ebe4a15ae4ace23ddab8c85357c37ea	ea368856e819bf167f285ec97ee0ae3770aac92ae29941bbc6cbec2c579bb198	569c0b83ce329773	sliced-sha256-8.v2	nvidia-A-1
59	39147a76	7.658284	19.504	6.593	abd701187789936bcd0538fb8cf70fa2805b0d5fb81d02d517e9817cb3292a82	acd721e0813d42578acc6ccd6992171fd67d9672a24e63b8525372c1d9791fd3	7d275672d9805f5a	sliced-sha256-8.v2	nvidia-A-1
60	3916feb5	7.660332	19.515	6.547	430be3adf03cf9def5afa29ffeb8cb978da43936eefac5ca528199590c0de692	45f65dd275f6a77cd8259da41ac2675f4997e380f50f902279f28d52b7c13c3c	b0330099e34d1d82	sliced-sha256-8.v2	nvidia-A-1
61	391982f3	7.705003	19.490	7.128	fe53a621f4c0d6ae784a5e9077e62768eda30a681be087d8d2e02a3bece0d0aa	6aa70b36091f304398eec06fe2c9260f793f07cdedf7219fe95ee81f90e0a407	eac0f5d2e7a1db2d	sliced-sha256-8.v2	nvidia-A-1
62	391c0732	7.644353	19.490	6.605	64ae9718911a0c14503dc8f8402f309df2b1db9f211a31c1e1a578621b76c484	9441b47c47f20926cec9b2a5c8456dd3d689ebe0388fcf0e0f75ce21dcd2ec7a	dfae5e6ca660b230	sliced-sha256-8.v2	nvidia-A-1
63	391e8b71	7.602415	19.501	6.496	e4cf738918792cac56c67b747f3e55fe257132eb213eebcf4ce13a3af9f99be4	ffc17eb7d38e0b175445bb58b231b0060d335f2f0dd0b307f568404b871605c7	fbf2bb89afcd575b	sliced-sha256-8.v2	nvidia-A-1
64	39210fb0	7.457430	19.503	6.590	6b929de1ca1e5e2f689c4c5c82eeaa555ded8eda485cb960fa24368c5e6ac3e5	9ff42cc5682a3feeb4684026689675829955926ccaa20e475933333a04ff7702	f6759164fb90c2eb	sliced-sha256-8.v2	nvidia-A-1
65	392393ee	7.406100	19.485	7.087	5c57b48dc3fb3aefe655ca42ab9e9a614a3d6a65d65f125d93a8813d9003915a	3f1424554a42bdcf0a86a1ed933ad2e6c804e3e922b20b8c00a870f11da57742	26e7a806e4ea2cac	sliced-sha256-8.v2	nvidia-A-1
66	3926182d	7.532875	19.486	7.121	954c1c4abe990d2048d2abb15dacf5a191dd79d9216e8ff0c6dc9c32fad5f0dc	5e0399d75a6356268516b8d23d8d973e33f18f63aed11f81dceedd6fbfb9b7fa	637453441a446afd	sliced-sha256-8.v2	nvidia-A-1
67	39289c6c	7.447839	19.500	6.686	8844c295f22b49ed31d2a75546e199a8a1a5982418251aed9d94429544045b74	25a0ce8875349f35602825d42a935986c2820f0e8b030cd78f32b701b1467843	9ba17b7ae81b68d9	sliced-sha256-8.v2	nvidia-A-1
68	392b20ab	7.394320	19.488	7.502	b740932946e733fbd4e5005c0cfa2052ccfe1c05e065cf7291cbc36a6ca5365e	ceffe7e21e193bc2983cfe675a43299b6313ec5a5e274c21da85060cbb590268	f25ea72ba3690d3f	sliced-sha256-8.v2	nvidia-A-1
69	392da4e9	7.448282	19.481	6.912	b9cb7f5a2140b61df8d5940e57ccac241ffdf23556308dc6e37e1ab7af96924c	73e1d57d79a8548a967e57cbcc795fbfbcd3653bfaff61d83df1ed7de73e8013	df10f9eb0ede8d55	sliced-sha256-8.v2	nvidia-A-1
70	39302928	7.397432	19.489	6.586	c806536de5532bb07e3c6ad2150309b8909b7e9fe7d9162c1f0de77647c12eed	3dce8ceed9f381567e94729dd78903a36513cdefe5355c94d8a56d35d0387438	3260107d7541d0cd	sliced-sha256-8.v2	nvidia-A-1
71	3932ad67	7.430421	19.488	6.489	b15fcd726b88c95e1c38f26fdb21f6d46cd72b9ab263ab4b012a442afd866d6d	fcd4a6be013483bddbea3449772bc53eb2976fb412e4b615eb6cfba0529ab70f	f2f3ce08925e2848	sliced-sha256-8.v2	nvidia-A-1
72	393531a6	7.317146	19.478	6.909	b2b8941f95444a73d2864e64f1b13f349e512c963598372634a4f8161cb49ba3	c298fdd79540431ec0475573aa8bda62292765544389c85a059b99fb4fd8d0a8	c08859fadbf8c8e7	sliced-sha256-8.v2	nvidia-A-1
73	3937b5e4	7.214337	19.482	6.490	a604b2412b771475b54afa2daae74218ee0314e5ee399ab4553e2ccf45b758a0	5732bc720ef2f58f0825c006f27535f13b3a7720b5561ae7dbb9c48a7e32fcc0	468ad31d65f5e813	sliced-sha256-8.v2	nvidia-A-1
74	393a3a23	7.215938	19.481	6.501	e2b7ed790565df5ae193b01282f9152dca9cd1e0c54a962ada58f5a29a629cf2	c612f0d3f4dc9926712463e0fbc485feb385de90722698d7b9261f9ce488df48	52215069c44d2dcd	sliced-sha256-8.v2	nvidia-A-1
75	393cbe62	7.288003	19.484	6.856	fa5797a74877bd49986f68722f043da237b373e60e28b2b3e756d1a485d40079	b46e28e09fdd3a4ecb8edcafeb7d97f27abce9c4ee67b84886632f080b2cce71	897c605b8ee8f45d	sliced-sha256-8.v2	nvidia-A-1
76	393f42a1	7.172540	19.478	7.827	348acde33513fb3695994565c6be8d4d5ff921acdbb7e368832240446ad63cf5	6a8ca30e2f36bf78ff37e5d5513ec81a030033eb08d78e2a69cab6799068fd1b	619745078959f0c4	sliced-sha256-8.v2	nvidia-A-1
77	3941c6df	7.162824	19.474	6.615	20767c01c3a351798b3678aced4c3958a199dd0dfc10d823e74a2f97dfb77de1	436c2385075edec934d8855257940b9fc0f599f9205709634aece47783aa5648	85c43081fadd7e34	sliced-sha256-8.v2	nvidia-A-1
78	39444b1e	7.182382	19.482	6.442	1b9d83863846d4b3937eb75734ad8b3f3aa886d25f3c98150644f563b0aa5b43	459602467c287dd0a7d4ff1060d636518905d07ee4ae4c59aa7430b00ea17442	8ee1efcf82356c84	sliced-sha256-8.v2	nvidia-A-1
79	3946cf5d	7.178914	19.482	6.472	2074a4b1c0018e78cbe5f543517e13c47913c950296f3296e1be52eb0c722ae0	1e56cc8422aea446ebc2ee70da008957fc21cb262c60fcfb7a75642f0c819ad7	e19ff54c77006c3e	sliced-sha256-8.v2	nvidia-A-1
80	3949539c	7.137303	19.484	7.125	2a6973a06b0d28936789440cdbd85dc3d94f84e97c434fae6fbeac809a2f814a	a169e3c0daed7ddf7a710525cfc31835435b8a197e7c491bc772f5cf36e5b4cc	87f3efd686b4e023	sliced-sha256-8.v2	nvidia-A-1
81	394bd7da	7.128410	19.478	6.339	593ca02c623afe9e8669e8574a5b1968cb878b5256a71a4d85ca911369e224e3	62a22efc9f6904a48e5f235dbcd92b69faee620f422fcd178f3d29786bba06d2	ca591c65e43d718c	sliced-sha256-8.v2	nvidia-A-1
82	394e5c19	7.088290	19.493	6.659	887b854be8cf079e3dd63d76f4a70acb836c0a2096c5bebb23038aef9b49a9b7	c225553c35806d423cbac223434b5efbbfd253d088d06e9467715259c979232b	c7f750f51f1572e4	sliced-sha256-8.v2	nvidia-A-1
83	3950e058	7.017672	19.479	6.650	2da2ea0f1b2e7385fb390ef13a6ebe03848cf5444842e19d1454c567b337c9d5	21914707c18e9800dc4fb1e4065d9607de340bd5874087e7998574b1b20197f6	a94aaffb066829c7	sliced-sha256-8.v2	nvidia-A-1
84	39536497	7.037732	19.476	7.336	f292c3b88bbc864295d957cbaf6d9912215576a86326b033a8be5c5bc49c5ae0	64a343fae0cf19e1180cd53950f94b1170b40b798d54147c2f8a34d6aa227dc4	9adfcac593e3112b	sliced-sha256-8.v2	nvidia-A-1
85	3955e8d5	6.959351	19.484	7.098	b9cac97080ae2a8e5e4bac08311779cc92b5db43a423bc51c5e8619055b9cd21	829430fc755a780e2b85510992a3fc52d776afbceb4810ec0e8428445d6c32c6	835c4b8ef9654285	sliced-sha256-8.v2	nvidia-A-1
86	39586d14	7.009087	19.496	6.283	a5b35f4b54f2fb52b04e80ab36e2aec3009ee9425e02b18dcce7003f2a057983	c742a751ed2f2787de8e47e73b4ab291254b2e14e7ccf5bdfe3f73816ced4385	24e88c08eee4c84a	sliced-sha256-8.v2	nvidia-A-1
87	395af153	6.974364	19.496	6.106	3647fdb97e5a624acbbe48fce88b8ad3f5048a35d427f6b86741234b93eb9fa4	73f75fddb98f2b7981e47c6a19e3cf19e3dce1943c92a7c842dd9b00e1a472ee	2b7ee3ce9b79e4e7	sliced-sha256-8.v2	nvidia-A-1
88	395d7591	6.949035	19.497	6.865	014d6d5c06748926c1d1286bd2c697bec626caf362991ec3402b16059984b149	22e31b3c49b736d099731e6e3c8039ea4830d9ecc4b9f6d2d969d4bfe02660a4	938c7f9d73821b59	sliced-sha256-8.v2	nvidia-A-1
89	395ff9d0	6.868498	19.479	6.636	4ea111e30d014a642adf787628b0263de0204f9aedfe9ff58565ec7468a7953f	478a0932f47f4a5653fb501cf90d4281aada4e0bd80860687773c47cfdffe1cc	7a5b1c1d29ee8d40	sliced-sha256-8.v2	nvidia-A-1
90	39627e0f	6.851883	19.486	6.628	4acaede118a5b42a53622bc5981a5d24eb3c41542d5e44bac5073d0e8ff67d84	b43dd9682aab9a0df10e38c0128f60c45e7088a7b275d1bd61a94325cff4185a	a4a7c6265e9fa1b2	sliced-sha256-8.v2	nvidia-A-1
91	3965024e	6.867302	19.485	6.649	c5cc82d917e411d823d280ec8b76d817e9bbebcf89e48159be815b3a406cdf54	df8ca7926d7f641bd5f8b3f0115bbe6625f0f9fd4f827cd7d7780691ad44bb5e	0ee75254571a28b2	sliced-sha256-8.v2	nvidia-A-1
92	3967868c	6.834232	19.484	6.574	0d2574b39c32c08ae02840c56eeaac46c167afc4c87194f46b365751559a97fc	074e98908fb6780e507bd3e72a8efc3768d823ecb10523937e6b961999f529a3	d1f53a1be40926b0	sliced-sha256-8.v2	nvidia-A-1
