name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	831.053	0.5001
envelope.blocks_backward	1.0	427.885	0.2575
bwd.mlp_through_oproj	12.0	212.521	0.1279
envelope.blocks_forward	1.0	207.635	0.1249
bwd.attention	12.0	138.002	0.0830
block.attention_total	12.0	106.919	0.0643
block.mlp_and_residuals	12.0	95.839	0.0577
bwd.after_attention	12.0	77.256	0.0465
gemm.gateup_dB	24.0	60.891	nan
gemm.gateup_dA	24.0	60.361	nan
gemm.gateup_fwd	24.0	59.214	nan
attn.core	12.0	58.586	0.0353
step.head_backward_da	1.0	56.721	0.0341
gemm.head_dA	1.0	56.703	nan
step.head_forward	1.0	54.961	0.0331
gemm.head_fwd	1.0	54.937	nan
attn.fwd_r2_keep_kernel	12.0	54.754	0.0329
step.head_backward_db	1.0	53.651	0.0323
gemm.head_dB	1.0	53.639	nan
attn.bwd_dq_tiled_pf	12.0	53.476	0.0322
attn.bwd_kvgrid_dkdv_pf	12.0	50.699	0.0305
gemm.proj_dA	48.0	47.656	nan
gemm.proj_dB	48.0	46.360	nan
gemm.proj_fwd	48.0	45.984	nan
attn.qkv_proj	12.0	34.509	0.0208
fwd.up_proj	12.0	30.551	0.0184
grad.up_dB	12.0	30.450	0.0183
grad.gate_dB	12.0	30.441	0.0183
grad.gate_dA	12.0	30.307	0.0182
gemm.down_dB	12.0	30.132	nan
grad.down_dB	12.0	30.132	0.0181
grad.up_dA	12.0	30.054	0.0181
fwd.down_proj	12.0	29.655	0.0178
gemm.down_fwd	12.0	29.655	nan
gemm.down_dA	12.0	29.552	nan
grad.down_dA	12.0	29.552	0.0178
fwd.gate_proj	12.0	28.663	0.0172
attn.bwd_zdot_estash_dres_pf	12.0	28.382	0.0171
attn.o_proj	12.0	11.972	0.0072
grad.q_dA	12.0	11.964	0.0072
grad.k_dA	12.0	11.942	0.0072
grad.v_dA	12.0	11.897	0.0072
grad.o_dA	12.0	11.854	0.0071
fwd.o_proj	12.0	11.810	0.0071
grad.v_dB	12.0	11.782	0.0071
fwd.q_proj	12.0	11.645	0.0070
grad.q_dB	12.0	11.637	0.0070
grad.o_dB	12.0	11.637	0.0070
fwd.v_proj	12.0	11.384	0.0068
grad.k_dB	12.0	11.304	0.0068
fwd.k_proj	12.0	11.145	0.0067
step.ce_forward	1.0	10.471	0.0063
step.embedding_backward	1.0	8.557	0.0051
block.norm1	12.0	4.810	0.0029
attn.bwd_regime_scan	12.0	4.076	0.0025
fwd.norm1	12.0	3.474	0.0021
fwd.norm2	12.0	3.140	0.0019
step.ce_backward	1.0	2.989	0.0018
attn.fwd_regime_scan	12.0	2.937	0.0018
step.validate_after_scan	1.0	2.591	0.0016
grad.norm2_kernels	12.0	2.275	0.0014
grad.norm1_kernels	12.0	2.122	0.0013
attn.rope_and_cache	12.0	1.816	0.0011
grad.gate_mul	12.0	1.760	0.0011
gemm.norm_dW	24.0	1.534	nan
step.ce_refuse_scan	1.0	1.504	0.0009
step.optimizer	1.0	1.496	0.0009
fwd.refuse_call	12.0	1.183	0.0007
fwd.gate_mul	12.0	1.046	0.0006
fwd.silu	12.0	1.046	0.0006
grad.rope	12.0	0.992	0.0006
attn.bwd_corner_flag	12.0	0.926	0.0006
grad.refuse_scan	12.0	0.793	0.0005
grad.norm2_dW	12.0	0.772	0.0005
grad.norm1_dW	12.0	0.762	0.0005
attn.fwd_corner_flag	12.0	0.722	0.0004
step.pack_grads	1.0	0.708	0.0004
step.unpack_weights	1.0	0.705	0.0004
grad.kv_slice	12.0	0.628	0.0004
step.validate_grads_scan	1.0	0.580	0.0003
grad.qkv_fanin	12.0	0.495	0.0003
fwd.residual2_add	12.0	0.495	0.0003
grad.gateup_fanin	12.0	0.486	0.0003
grad.x_add	12.0	0.475	0.0003
grad.residual2_copy	12.0	0.472	0.0003
fwd.residual1_add	12.0	0.454	0.0003
attn.bwd_scratch_alloc	12.0	0.267	0.0002
step.upload_inputs	1.0	0.147	0.0001
step.py_flags	1.0	0.108	0.0001
step.embedding_forward	1.0	0.104	0.0001
step.loss_download	1.0	0.044	0.0000
grad.silu	12.0	0.015	0.0000
step.bind_publish	1.0	0.011	0.0000
grad.o_copy	12.0	0.010	0.0000
grad.residual1_add	12.0	0.010	0.0000
bwd.before_attention	12.0	0.008	0.0000
step.bind_final_sync	1.0	0.001	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 1661.922 ms a shard; gemm.* 576.620 ms a shard
