name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	902.854	0.5000
envelope.blocks_backward	1.0	471.993	0.2614
envelope.blocks_forward	1.0	228.913	0.1268
bwd.mlp_through_oproj	12.0	219.789	0.1217
bwd.attention	12.0	172.020	0.0953
block.attention_total	12.0	123.849	0.0686
block.mlp_and_residuals	12.0	99.650	0.0552
bwd.after_attention	12.0	80.078	0.0444
attn.core	12.0	74.796	0.0414
attn.fwd_r2_keep_kernel	12.0	71.569	0.0396
attn.bwd_kvgrid_dkdv_pf	12.0	68.014	0.0377
attn.bwd_dq_tiled_pf	12.0	65.311	0.0362
gemm.gateup_dB	24.0	62.871	nan
gemm.gateup_dA	24.0	62.263	nan
gemm.gateup_fwd	24.0	61.606	nan
step.head_backward_da	1.0	58.307	0.0323
gemm.head_dA	1.0	58.296	nan
step.head_forward	1.0	56.559	0.0313
gemm.head_fwd	1.0	56.536	nan
step.head_backward_db	1.0	54.576	0.0302
gemm.head_dB	1.0	54.570	nan
gemm.proj_dA	48.0	49.585	nan
gemm.proj_dB	48.0	47.963	nan
gemm.proj_fwd	48.0	46.778	nan
attn.qkv_proj	12.0	35.512	0.0197
attn.bwd_zdot_estash_dres_pf	12.0	33.949	0.0188
grad.gate_dB	12.0	31.520	0.0175
fwd.up_proj	12.0	31.506	0.0174
gemm.down_dB	12.0	31.418	nan
grad.down_dB	12.0	31.418	0.0174
grad.up_dB	12.0	31.351	0.0174
grad.up_dA	12.0	31.171	0.0173
grad.gate_dA	12.0	31.091	0.0172
gemm.down_dA	12.0	31.012	nan
grad.down_dA	12.0	31.012	0.0172
fwd.down_proj	12.0	30.783	0.0170
gemm.down_fwd	12.0	30.783	nan
fwd.gate_proj	12.0	30.100	0.0167
grad.q_dA	12.0	12.499	0.0069
grad.k_dA	12.0	12.458	0.0069
grad.v_dB	12.0	12.420	0.0069
grad.v_dA	12.0	12.414	0.0069
step.ce_forward	1.0	12.271	0.0068
grad.o_dA	12.0	12.214	0.0068
fwd.q_proj	12.0	12.101	0.0067
grad.o_dB	12.0	11.993	0.0066
grad.k_dB	12.0	11.825	0.0065
grad.q_dB	12.0	11.725	0.0065
fwd.v_proj	12.0	11.717	0.0065
attn.o_proj	12.0	11.634	0.0064
fwd.o_proj	12.0	11.517	0.0064
fwd.k_proj	12.0	11.443	0.0063
step.embedding_backward	1.0	8.862	0.0049
block.norm1	12.0	5.352	0.0030
fwd.norm1	12.0	4.208	0.0023
fwd.norm2	12.0	3.778	0.0021
attn.bwd_regime_scan	12.0	3.512	0.0019
step.ce_backward	1.0	3.073	0.0017
grad.norm2_kernels	12.0	2.623	0.0015
step.validate_after_scan	1.0	2.571	0.0014
grad.norm1_kernels	12.0	2.481	0.0014
attn.fwd_regime_scan	12.0	2.480	0.0014
grad.gate_mul	12.0	1.925	0.0011
attn.rope_and_cache	12.0	1.869	0.0010
step.optimizer	1.0	1.633	0.0009
gemm.norm_dW	24.0	1.516	nan
step.ce_refuse_scan	1.0	1.493	0.0008
grad.rope	12.0	1.099	0.0006
fwd.silu	12.0	1.050	0.0006
fwd.refuse_call	12.0	1.043	0.0006
fwd.gate_mul	12.0	1.018	0.0006
attn.bwd_corner_flag	12.0	0.834	0.0005
grad.norm2_dW	12.0	0.760	0.0004
grad.norm1_dW	12.0	0.757	0.0004
step.pack_grads	1.0	0.699	0.0004
step.unpack_weights	1.0	0.698	0.0004
grad.refuse_scan	12.0	0.693	0.0004
grad.kv_slice	12.0	0.648	0.0004
step.validate_grads_scan	1.0	0.579	0.0003
attn.fwd_corner_flag	12.0	0.573	0.0003
grad.qkv_fanin	12.0	0.513	0.0003
grad.gateup_fanin	12.0	0.494	0.0003
fwd.residual2_add	12.0	0.490	0.0003
grad.x_add	12.0	0.480	0.0003
grad.residual2_copy	12.0	0.475	0.0003
fwd.residual1_add	12.0	0.459	0.0003
attn.bwd_scratch_alloc	12.0	0.233	0.0001
step.upload_inputs	1.0	0.196	0.0001
step.py_flags	1.0	0.113	0.0001
step.embedding_forward	1.0	0.099	0.0001
step.loss_download	1.0	0.037	0.0000
grad.silu	12.0	0.015	0.0000
step.bind_publish	1.0	0.010	0.0000
grad.o_copy	12.0	0.010	0.0000
grad.residual1_add	12.0	0.010	0.0000
bwd.before_attention	12.0	0.008	0.0000
step.bind_final_sync	1.0	0.001	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 1805.535 ms a shard; gemm.* 595.197 ms a shard
