dataset	kind	operation	arm	outer	shape	median_ms	spread	hash	hashes_equal	quality	ordered_selected	numeric_mode	vendor
istella	et	predict	ordered	2	[1000000,220]	571.751667	1.1293852276425682	ab78d2319537eebdc2ea94df8169142956f02bfd01e08e161c88d99e792e0956:float64:(1000000,)	True	{"accuracy":0.926648}	True	identical	metal
istella	et	proba	ordered	2	[1000000,220]	562.887916	1.0208910429026714	7487a343c5dd1b087b21f79a0ed633e22b721749798ab890e09f341e684a9491:float64:(1000000, 2)	True	{"logloss":0.1837667854902221}	True	identical	metal
istella	rf	predict	ordered	2	[1000000,220]	648.747708	1.6337455551595685	4d8275eaab1160ef431bdfd24984b93aa9f0716497680501c46a14a3e77598c6:float64:(1000000,)	True	{"accuracy":0.94532}	True	identical	metal
istella	rf	proba	ordered	2	[1000000,220]	607.458	1.0421157709660753	39d4e471010859cc4e80486dc4d2fa9a6ed4eb10e6177ef84a6113423995256f:float32:(1000000, 2)	True	{"logloss":0.1429750222767868}	True	identical	metal
taxi	et	predict	ordered	2	[1000000,11]	215.806292	1.042092470174868	7d8a9e3f281e24cfab41fd6a1c12216cf3dea21dcd300e16715409440c783604:float64:(1000000,)	True	{"accuracy":0.777343}	True	identical	metal
taxi	et	proba	ordered	2	[1000000,11]	192.717208	1.0591928058886855	346e686ac0ca7c36eea2296c1dc80e1823e3217d35e88323ca800cf4411ee986:float64:(1000000, 2)	True	{"logloss":0.5195547196918995}	True	identical	metal
taxi	rf	predict	ordered	2	[1000000,11]	231.225708	1.0895932611256487	23f2559de1b9d74868c5ca915c55f13b71720a2df9c2b1becf5d2c0ae45cce45:float64:(1000000,)	True	{"accuracy":0.779465}	True	identical	metal
taxi	rf	proba	ordered	2	[1000000,11]	213.471792	1.0602749653373582	7af204f1165afac18d3a7f692f36fb394ea4f62b902e0a806817d71a1d1d2aa8:float32:(1000000, 2)	True	{"logloss":0.5126321444971583}	True	identical	metal
istella	et	predict	sequential	2	[1000000,220]	4154.174834	1.0832385025321196	ab78d2319537eebdc2ea94df8169142956f02bfd01e08e161c88d99e792e0956:float64:(1000000,)	True	{"accuracy":0.926648}	False	identical	metal
istella	et	proba	sequential	2	[1000000,220]	4301.406416	1.1077297699690982	7487a343c5dd1b087b21f79a0ed633e22b721749798ab890e09f341e684a9491:float64:(1000000, 2)	True	{"logloss":0.1837667854902221}	False	identical	metal
istella	rf	predict	sequential	2	[1000000,220]	7376.43275	1.3494625861024128	4d8275eaab1160ef431bdfd24984b93aa9f0716497680501c46a14a3e77598c6:float64:(1000000,)	True	{"accuracy":0.94532}	False	identical	metal
istella	rf	proba	sequential	2	[1000000,220]	6214.627209	1.1529705780993451	39d4e471010859cc4e80486dc4d2fa9a6ed4eb10e6177ef84a6113423995256f:float32:(1000000, 2)	True	{"logloss":0.1429750222767868}	False	identical	metal
taxi	et	predict	sequential	2	[1000000,11]	3915.889042	1.0329178312841492	7d8a9e3f281e24cfab41fd6a1c12216cf3dea21dcd300e16715409440c783604:float64:(1000000,)	True	{"accuracy":0.777343}	False	identical	metal
taxi	et	proba	sequential	2	[1000000,11]	3827.298916	1.0474126145169242	346e686ac0ca7c36eea2296c1dc80e1823e3217d35e88323ca800cf4411ee986:float64:(1000000, 2)	True	{"logloss":0.5195547196918995}	False	identical	metal
taxi	rf	predict	sequential	2	[1000000,11]	5524.572292	1.2744057494090077	23f2559de1b9d74868c5ca915c55f13b71720a2df9c2b1becf5d2c0ae45cce45:float64:(1000000,)	True	{"accuracy":0.779465}	False	identical	metal
taxi	rf	proba	sequential	2	[1000000,11]	5824.373458	1.2312129073348632	7af204f1165afac18d3a7f692f36fb394ea4f62b902e0a806817d71a1d1d2aa8:float32:(1000000, 2)	True	{"logloss":0.5126321444971583}	False	identical	metal
istella	et	predict	ordered	3	[1000000,220]	562.776292	1.0865385005991677	ab78d2319537eebdc2ea94df8169142956f02bfd01e08e161c88d99e792e0956:float64:(1000000,)	True	{"accuracy":0.926648}	True	identical	metal
istella	et	proba	ordered	3	[1000000,220]	552.269375	1.0387774075932679	7487a343c5dd1b087b21f79a0ed633e22b721749798ab890e09f341e684a9491:float64:(1000000, 2)	True	{"logloss":0.1837667854902221}	True	identical	metal
istella	rf	predict	ordered	3	[1000000,220]	585.242792	1.1659220928155285	4d8275eaab1160ef431bdfd24984b93aa9f0716497680501c46a14a3e77598c6:float64:(1000000,)	True	{"accuracy":0.94532}	True	identical	metal
istella	rf	proba	ordered	3	[1000000,220]	573.625042	1.0563228854461804	39d4e471010859cc4e80486dc4d2fa9a6ed4eb10e6177ef84a6113423995256f:float32:(1000000, 2)	True	{"logloss":0.1429750222767868}	True	identical	metal
taxi	et	predict	ordered	3	[1000000,11]	174.149	1.1243438783484438	7d8a9e3f281e24cfab41fd6a1c12216cf3dea21dcd300e16715409440c783604:float64:(1000000,)	True	{"accuracy":0.777343}	True	identical	metal
taxi	et	proba	ordered	3	[1000000,11]	196.737541	1.0466923918019384	346e686ac0ca7c36eea2296c1dc80e1823e3217d35e88323ca800cf4411ee986:float64:(1000000, 2)	True	{"logloss":0.5195547196918995}	True	identical	metal
taxi	rf	predict	ordered	3	[1000000,11]	161.396	1.0312994442125265	23f2559de1b9d74868c5ca915c55f13b71720a2df9c2b1becf5d2c0ae45cce45:float64:(1000000,)	True	{"accuracy":0.779465}	True	identical	metal
taxi	rf	proba	ordered	3	[1000000,11]	160.837166	1.0673974413469032	7af204f1165afac18d3a7f692f36fb394ea4f62b902e0a806817d71a1d1d2aa8:float32:(1000000, 2)	True	{"logloss":0.5126321444971583}	True	identical	metal
istella	et	predict	sequential	3	[1000000,220]	3640.806542	1.2086875236617114	ab78d2319537eebdc2ea94df8169142956f02bfd01e08e161c88d99e792e0956:float64:(1000000,)	True	{"accuracy":0.926648}	False	identical	metal
istella	et	proba	sequential	3	[1000000,220]	3622.705458	1.0432997266803319	7487a343c5dd1b087b21f79a0ed633e22b721749798ab890e09f341e684a9491:float64:(1000000, 2)	True	{"logloss":0.1837667854902221}	False	identical	metal
istella	rf	predict	sequential	3	[1000000,220]	5240.287917	1.0551283560980727	4d8275eaab1160ef431bdfd24984b93aa9f0716497680501c46a14a3e77598c6:float64:(1000000,)	True	{"accuracy":0.94532}	False	identical	metal
istella	rf	proba	sequential	3	[1000000,220]	5156.734875	1.0624998033781572	39d4e471010859cc4e80486dc4d2fa9a6ed4eb10e6177ef84a6113423995256f:float32:(1000000, 2)	True	{"logloss":0.1429750222767868}	False	identical	metal
taxi	et	predict	sequential	3	[1000000,11]	3594.680875	1.0260117690607808	7d8a9e3f281e24cfab41fd6a1c12216cf3dea21dcd300e16715409440c783604:float64:(1000000,)	True	{"accuracy":0.777343}	False	identical	metal
taxi	et	proba	sequential	3	[1000000,11]	3514.939833	1.022818857032287	346e686ac0ca7c36eea2296c1dc80e1823e3217d35e88323ca800cf4411ee986:float64:(1000000, 2)	True	{"logloss":0.5195547196918995}	False	identical	metal
taxi	rf	predict	sequential	3	[1000000,11]	5845.542417	1.0929109455920991	23f2559de1b9d74868c5ca915c55f13b71720a2df9c2b1becf5d2c0ae45cce45:float64:(1000000,)	True	{"accuracy":0.779465}	False	identical	metal
taxi	rf	proba	sequential	3	[1000000,11]	6112.45075	1.542090154443538	7af204f1165afac18d3a7f692f36fb394ea4f62b902e0a806817d71a1d1d2aa8:float32:(1000000, 2)	True	{"logloss":0.5126321444971583}	False	identical	metal
