name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	492.544	0.5001
envelope.blocks_backward	1.0	250.927	0.2548
envelope.blocks_forward	1.0	127.143	0.1291
bwd.mlp_through_oproj	12.0	114.027	0.1158
bwd.attention	12.0	92.067	0.0935
block.attention_total	12.0	72.197	0.0733
block.mlp_and_residuals	12.0	51.668	0.0525
attn.core	12.0	45.358	0.0461
bwd.after_attention	12.0	44.596	0.0453
attn.fwd_r2_keep_kernel	12.0	43.011	0.0437
attn.bwd_zdot_estash_dres_pf	12.0	34.074	0.0346
gemm.gateup_dB	24.0	31.840	nan
step.head_backward_da	1.0	31.559	0.0320
gemm.head_dA	1.0	31.499	nan
step.head_forward	1.0	30.754	0.0312
gemm.head_fwd	1.0	30.718	nan
gemm.gateup_dA	24.0	30.098	nan
gemm.gateup_fwd	24.0	29.868	nan
step.head_backward_db	1.0	29.704	0.0302
gemm.head_dB	1.0	29.683	nan
attn.bwd_dq_tiled_pf	12.0	29.346	0.0298
gemm.proj_dB	48.0	26.008	nan
attn.bwd_kvgrid_dkdv_pf	12.0	25.442	0.0258
gemm.proj_fwd	48.0	22.883	nan
gemm.proj_dA	48.0	22.733	nan
attn.qkv_proj	12.0	17.744	0.0180
gemm.down_dB	12.0	15.955	nan
grad.down_dB	12.0	15.955	0.0162
grad.up_dB	12.0	15.923	0.0162
grad.gate_dB	12.0	15.917	0.0162
fwd.down_proj	12.0	15.151	0.0154
gemm.down_fwd	12.0	15.151	nan
grad.gate_dA	12.0	15.064	0.0153
grad.up_dA	12.0	15.034	0.0153
fwd.up_proj	12.0	14.958	0.0152
fwd.gate_proj	12.0	14.910	0.0151
gemm.down_dA	12.0	14.775	nan
grad.down_dA	12.0	14.775	0.0150
step.ce_forward	1.0	8.914	0.0091
grad.q_dB	12.0	6.513	0.0066
grad.o_dB	12.0	6.505	0.0066
grad.k_dB	12.0	6.496	0.0066
grad.v_dB	12.0	6.495	0.0066
attn.o_proj	12.0	5.984	0.0061
fwd.o_proj	12.0	5.729	0.0058
fwd.v_proj	12.0	5.725	0.0058
fwd.k_proj	12.0	5.719	0.0058
fwd.q_proj	12.0	5.710	0.0058
grad.k_dA	12.0	5.689	0.0058
grad.v_dA	12.0	5.687	0.0058
grad.q_dA	12.0	5.680	0.0058
grad.o_dA	12.0	5.677	0.0058
step.ce_backward	1.0	3.868	0.0039
block.norm1	12.0	3.192	0.0032
attn.rope_and_cache	12.0	3.026	0.0031
attn.bwd_regime_scan	12.0	2.435	0.0025
fwd.norm2	12.0	2.313	0.0023
grad.norm2_kernels	12.0	2.285	0.0023
grad.gate_mul	12.0	2.239	0.0023
fwd.norm1	12.0	2.160	0.0022
step.validate_after_scan	1.0	2.147	0.0022
grad.norm1_kernels	12.0	2.076	0.0021
attn.fwd_regime_scan	12.0	1.879	0.0019
grad.rope	12.0	1.727	0.0018
step.optimizer	1.0	1.708	0.0017
step.embedding_backward	1.0	1.517	0.0015
step.ce_refuse_scan	1.0	1.404	0.0014
fwd.silu	12.0	1.079	0.0011
fwd.gate_mul	12.0	1.072	0.0011
step.pack_grads	1.0	0.918	0.0009
step.unpack_weights	1.0	0.913	0.0009
grad.kv_slice	12.0	0.905	0.0009
gemm.norm_dW	24.0	0.901	nan
fwd.refuse_call	12.0	0.798	0.0008
grad.refuse_scan	12.0	0.586	0.0006
grad.qkv_fanin	12.0	0.578	0.0006
step.validate_grads_scan	1.0	0.545	0.0006
grad.gateup_fanin	12.0	0.500	0.0005
fwd.residual2_add	12.0	0.488	0.0005
fwd.residual1_add	12.0	0.485	0.0005
grad.x_add	12.0	0.468	0.0005
grad.residual2_copy	12.0	0.467	0.0005
grad.norm2_dW	12.0	0.459	0.0005
attn.bwd_corner_flag	12.0	0.458	0.0005
grad.norm1_dW	12.0	0.443	0.0004
attn.fwd_corner_flag	12.0	0.362	0.0004
attn.bwd_scratch_alloc	12.0	0.204	0.0002
step.py_flags	1.0	0.107	0.0001
step.embedding_forward	1.0	0.083	0.0001
step.upload_inputs	1.0	0.069	0.0001
step.bind_publish	1.0	0.030	0.0000
step.loss_download	1.0	0.027	0.0000
grad.silu	12.0	0.024	0.0000
grad.o_copy	12.0	0.022	0.0000
grad.residual1_add	12.0	0.020	0.0000
bwd.before_attention	12.0	0.020	0.0000
step.bind_final_sync	1.0	0.002	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 984.883 ms a shard; gemm.* 302.111 ms a shard
