build-check	0	51s
build-price	0	38s
build-resources	0	16s
step-check	0	8s
resources	0	0s
price-shipped	0	6s
price-ksplit	0	5s
price-ksplit_leaf	0	5s
build-binding-base	0	66s
build-binding-byte-lm	0	98s
corpus-enwik8	0	6s
corpus-pile-github	0	24s
lm-shipped-enwik8	0	92s
lmtiming-shipped-enwik8	0	51s
lm-ksplit-enwik8	0	83s
lmtiming-ksplit-enwik8	0	52s
lm-ksplit_leaf-enwik8	0	79s
lmtiming-ksplit_leaf-enwik8	0	50s
lm-shippedclose-enwik8	0	85s
lm-shipped-pilegithub	0	81s
lmtiming-shipped-pilegithub	0	55s
lm-ksplit-pilegithub	0	79s
lmtiming-ksplit-pilegithub	0	49s
lm-ksplit_leaf-pilegithub	0	81s
lmtiming-ksplit_leaf-pilegithub	0	52s
lm-shippedclose-pilegithub	0	81s
