"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_2181cc5e3d5ab281",506,477622861,943918.697628,48.42,430825,30748291,1916889.994770
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_938aad5397e36ead",4,118308046,29577011.500000,11.99,28414144,30746264,1236167.553279
"transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1",24,73937232,3080718.000000,7.49,2985022,3226976,52749.009018
"transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e",24,65348199,2722841.625000,6.62,2648374,2775864,26682.737932
"transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490",24,64392890,2683037.083333,6.53,2625601,2777509,31009.850861
"transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a",24,44294758,1845614.916667,4.49,1719811,1963849,55712.907682
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf",506,22831701,45121.938735,2.31,15716,109050,24535.323893
"gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2",2,15998447,7999223.500000,1.62,7988178,8010269,15620.695903
"transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886",48,14189351,295611.479167,1.44,252217,332360,18719.880169
"embedding_checks_embedding_ide6A6A6A6A_02a428d7480c858f",2,13883248,6941624.000000,1.41,6887100,6996148,77108.580275
"core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb",196,13423122,68485.316327,1.36,1804,1622910,218548.025678
"__amd_rocclr_fillBufferAligned",1019,8374303,8218.157998,0.8489,642,339776,16780.797783
"transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7",48,4975372,103653.583333,0.5043,95619,108287,2188.614279
"training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c",2,3612696,1806348.000000,0.3662,1781271,1831425,35464.233504
"transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48",168,3473542,20675.845238,0.3521,15595,23373,2790.964740
"transformer_checks_transformer6A6A6A6A_701f75a72b36f978",24,3225854,134410.583333,0.3270,131020,136953,1626.817750
"training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae",2,3032210,1516105.000000,0.3074,1508006,1524204,11453.715642
"training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6",2,2903084,1451542.000000,0.2943,1436162,1466922,21750.604589
"training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde",2,2832514,1416257.000000,0.2871,1409221,1423293,9950.406625
