env	0	0	16:41:11
pixi-install	0	0	16:41:11
uv-get	0	1	16:41:12
venv	0	2	16:41:14
build-build	0	45	16:41:56
build-build_estimators	0	51	16:42:47
build-build_svm	0	42	16:43:29
builds-done	0	139	16:43:29
wheels	0	219	16:44:53
download-taxi	0	2	16:45:16
ours-import	0	0	16:45:19
setup-done	0	249	16:45:19
prep-taxi	0	2	16:46:38
race-kmeans-taxi	0	33	16:47:11
race-pca-taxi	0	23	16:47:34
race-ols-taxi	0	33	16:48:07
race-knn-taxi	0	42	16:48:49
race-kde-taxi	0	55	16:49:44
download-istella	0	163	16:50:07
race-svc-taxi	0	49	16:50:33
prep-istella	0	6	16:52:03
race-kmeans-istella	0	40	16:52:43
race-pca-istella	0	38	16:53:21
race-ols-istella	0	117	16:55:18
race-knn-istella	0	54	16:56:12
