EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL corpus
EXPECTED FAIL vendors
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL completed
EXPECTED FAIL loss
EXPECTED FAIL finite
MATCH 0 loss 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4
MATCH 0 gradients 357b524bfd61c7270efbe48da7467fd84fc62b6a3d7cf19e9c4c4d2ef7bf276e 357b524bfd61c7270efbe48da7467fd84fc62b6a3d7cf19e9c4c4d2ef7bf276e
MATCH 0 parameters d77ee5f6b34f4a8efebf55e0039980e3486e48419c0ac06f8b67ac96ceb4f033 d77ee5f6b34f4a8efebf55e0039980e3486e48419c0ac06f8b67ac96ceb4f033
MATCH 0 m a4d8e5c4d6e6fe005269d71247c7d9d8ca5526f1b7c13924d1846b5d21e3b664 a4d8e5c4d6e6fe005269d71247c7d9d8ca5526f1b7c13924d1846b5d21e3b664
MATCH 0 v 9c8aebafddab055d6157a5408559150e04244e398143319ed6ef48daaccb3370 9c8aebafddab055d6157a5408559150e04244e398143319ed6ef48daaccb3370
MATCH 0 flags 360d579dbd14759b41afdf7fb5e80c0101e15150ae401d59f92a1e32d129f7cb 360d579dbd14759b41afdf7fb5e80c0101e15150ae401d59f92a1e32d129f7cb
MATCH 1 loss 8.571666717529297 8.571666717529297
MATCH 2 loss 79.90629577636719 79.90629577636719
MATCH 3 loss 13.833303451538086 13.833303451538086
MATCH 4 loss 25.873863220214844 25.873863220214844
MATCH 5 loss 21.293354034423828 21.293354034423828
MATCH 6 loss 18.768646240234375 18.768646240234375
MATCH 7 loss 19.327045440673828 19.327045440673828
MATCH 8 loss 27.691883087158203 27.691883087158203
MATCH 9 loss 16.62179183959961 16.62179183959961
MATCH 10 loss 22.80801010131836 22.80801010131836
MATCH 11 loss 6.744924545288086 6.744924545288086
MATCH 12 loss 8.448160171508789 8.448160171508789
MATCH 13 loss 16.10751724243164 16.10751724243164
MATCH 14 loss 32.494117736816406 32.494117736816406
MATCH 15 loss 33.51319885253906 33.51319885253906
MATCH 16 loss 11.656316757202148 11.656316757202148
MATCH 17 loss 26.843955993652344 26.843955993652344
MATCH 18 loss 27.3674373626709 27.3674373626709
MATCH 19 loss 33.15193176269531 33.15193176269531
MATCH 20 loss 25.257064819335938 25.257064819335938
MATCH 21 loss 18.753202438354492 18.753202438354492
MATCH 22 loss 16.208694458007812 16.208694458007812
MATCH 23 loss 8.560235023498535 8.560235023498535
MATCH 24 loss 8.540284156799316 8.540284156799316
MATCH 25 loss 11.456432342529297 11.456432342529297
MATCH 26 loss 19.668060302734375 19.668060302734375
