"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"extratrees_ported_decisiontree6A6A6A6A_9ea9f7d0127855c6",286,3277388886,11459401.699301,52.87,2845988,109690812,16403061.057568
"extratrees_ported_decisiontree6A6A6A6A_c9e907d2c8efdbc6",474,2784654202,5874797.894515,44.92,6640,91344736,12280287.496100
"extratrees_ported_decisiontree6A6A6A6A_e3a670bc8965e024",286,27428877,95905.164336,0.4424,11640,111077,17156.468142
"__amd_rocclr_copyBuffer",5250,24228339,4614.921714,0.3908,1480,16520,1582.241728
"extratrees_ported_decisiontree6A6A6A6A_d03aef84e15ddf07",286,21852147,76406.108392,0.3525,13919,672946,86904.915168
"extratrees_ported_decisiontree6A6A6A6A_383751eddd47ecc6",286,20641524,72173.160839,0.3330,15200,609787,75374.875319
"extratrees_ported_decisiontree6A6A6A6A_329a4e6d705a998a",286,12423869,43440.101399,0.2004,26440,48839,3892.083377
"extratrees_ported_decisiontree6A6A6A6A_4b84414a8196bbac",286,5249485,18354.842657,0.0847,4480,200116,32030.626111
"__amd_rocclr_fillBufferAligned",1054,5152719,4888.727704,0.0831,3960,25800,1690.712951
"extratrees_ported_decisiontree6A6A6A6A_6ef0df01aa52f40b",2,4262400,2131200.000000,0.0688,1364574,2897826,1084172.886468
"extratrees_ported_decisiontree6A6A6A6A_b885a1ff67cfa1f5",474,3410534,7195.219409,0.0550,4040,138637,8563.516226
"extratrees_ported_decisiontree6A6A6A6A_f0c11205cb798cf0",286,2494115,8720.681818,0.0402,5559,13839,736.805795
"extratrees_ported_decisiontree6A6A6A6A_5aee4290147ac7a3",474,2342589,4942.170886,0.0378,3880,119398,5271.331508
"extratrees_ported_decisiontree6A6A6A6A_dd94670477df3753",474,1631538,3442.063291,0.0263,1360,5760,1248.015833
"extratrees_ported_decisiontree6A6A6A6A_1b00ae08b1b84291",286,1516258,5301.601399,0.0245,4560,26960,2790.632808
"extratrees_ported_decisiontree6A6A6A6A_b93721a4549bd7fc",286,1493200,5220.979021,0.0241,4080,17080,1727.583547
"extratrees_ported_decisiontree6A6A6A6A_f398b0b9c9cfa517",286,1453893,5083.541958,0.0235,4560,17119,1563.186892
"extratrees_ported_decisiontree6A6A6A6A_11c9649934bf8c9c",286,1402635,4904.318182,0.0226,4600,6558,274.433209
"extratrees_ported_decisiontree6A6A6A6A_7629de937fd59af7",2,387951,193975.500000,6.258e-03,131877,256074,87820.540903
