UMAP sparse graph mode IDENTICAL
UMAP_SPARSE_BITS duplicates-mix1 directed 4 0
UMAP_SPARSE_BITS duplicates-mix1 weights 4 1043246345
UMAP_SPARSE_BITS duplicates-mix1 directed 5 629145597
UMAP_SPARSE_BITS duplicates-mix1 weights 5 1043246345
UMAP_SPARSE_BITS duplicates-mix1 directed 6 0
UMAP_SPARSE_BITS duplicates-mix1 weights 6 0
UMAP_SPARSE_BITS duplicates-mix1 directed 7 1065353216
UMAP_SPARSE_BITS duplicates-mix1 weights 7 1048576000
UMAP_SPARSE_BITS duplicates-mix1 directed 8 0
UMAP_SPARSE_BITS duplicates-mix1 weights 8 1048576000
UMAP_SPARSE_BITS duplicates-mix1 directed 9 1065353216
UMAP_SPARSE_BITS duplicates-mix1 weights 9 1065353216
UMAP_SPARSE_BITS duplicates-mix1 directed 10 1065353216
UMAP_SPARSE_BITS duplicates-mix1 weights 10 1048576000
UMAP_SPARSE_BITS duplicates-mix1 directed 11 0
UMAP_SPARSE_BITS duplicates-mix1 weights 11 1048576000
UMAP_SPARSE_BITS duplicates-mix1 directed 12 0
UMAP_SPARSE_BITS duplicates-mix1 weights 12 0
UMAP_SPARSE_BITS duplicates-mix1 directed 13 0
UMAP_SPARSE_BITS duplicates-mix1 weights 13 1048576000
UMAP_SPARSE_BITS duplicates-mix1 directed 14 1058944890
UMAP_SPARSE_BITS duplicates-mix1 weights 14 1042167674
UMAP_SPARSE_BITS duplicates-mix1 directed 15 0
UMAP_SPARSE_BITS duplicates-mix1 weights 15 1048576000
UMAP_SPARSE_BITS duplicates-mix1 directed 16 1065353216
UMAP_SPARSE_BITS duplicates-mix1 weights 16 1048576000
UMAP_SPARSE_BITS duplicates-mix1 directed 17 1065353216
UMAP_SPARSE_BITS duplicates-mix1 weights 17 1048576000
UMAP_SPARSE_BITS duplicates-mix1 directed 18 0
UMAP_SPARSE_BITS duplicates-mix1 weights 18 0
UMAP_SPARSE_BITS duplicates-mix1 directed 19 0
UMAP_SPARSE_BITS duplicates-mix1 weights 19 1034069486
UMAP_SPARSE_BITS duplicates-mix1 directed 20 1060023561
UMAP_SPARSE_BITS duplicates-mix1 weights 20 1043246345
UMAP_SPARSE_BITS duplicates-mix1 directed 21 1065353216
UMAP_SPARSE_BITS duplicates-mix1 weights 21 1065353216
UMAP_SPARSE_BITS duplicates-mix1 directed 22 0
UMAP_SPARSE_BITS duplicates-mix1 weights 22 1042167674
UMAP_SPARSE_BITS duplicates-mix1 directed 23 1050846702
UMAP_SPARSE_BITS duplicates-mix1 weights 23 1034069486
UMAP_SPARSE_BITS duplicates-mix1 directed 24 0
UMAP_SPARSE_BITS duplicates-mix1 weights 24 0
UMAP_SPARSE_CASE_PASS duplicates-mix1
UMAP_SPARSE_BITS duplicates-mix2 rho 0 1056964608
UMAP_SPARSE_BITS duplicates-mix2 sigma 0 1067937421
UMAP_SPARSE_BITS duplicates-mix2 rho 1 1056964608
UMAP_SPARSE_BITS duplicates-mix2 sigma 1 1032719563
UMAP_SPARSE_BITS duplicates-mix2 rho 2 1065353216
UMAP_SPARSE_BITS duplicates-mix2 sigma 2 1074069344
UMAP_SPARSE_BITS duplicates-mix2 rho 3 1065353216
UMAP_SPARSE_BITS duplicates-mix2 sigma 3 1034581440
UMAP_SPARSE_BITS duplicates-mix2 rho 4 1056964608
UMAP_SPARSE_BITS duplicates-mix2 sigma 4 1067937421
UMAP_SPARSE_BITS duplicates-mix2 directed 0 0
UMAP_SPARSE_BITS duplicates-mix2 weights 0 0
UMAP_SPARSE_BITS duplicates-mix2 directed 1 1060023561
UMAP_SPARSE_BITS duplicates-mix2 weights 1 1051634953
UMAP_SPARSE_BITS duplicates-mix2 directed 2 0
UMAP_SPARSE_BITS duplicates-mix2 weights 2 1056964608
UMAP_SPARSE_BITS duplicates-mix2 directed 3 1065353216
