name, uuid, memory.total [MiB], driver_version
NVIDIA GeForce RTX 5090, GPU-b7572c33-f6b7-d51e-923e-7de8990047d9, 32607 MiB, 580.126.09
NVIDIA GeForce RTX 5090, GPU-f0f64334-9eef-9085-24d9-1dd23d3dc89d, 32607 MiB, 580.126.09
