family	verdict	rc	oracle_manifest_sha256	dump_manifest_sha256
mamba1	RED	1	55a946fecb51e2106730ea822d7f6f604cd2ea278eb62f77d062ffc9ac94f90a	missing
mamba2	RED	1	e362611ae17c5f80df3faad9983b8850f684be586ec657245a81ca23b8e6e3c9	missing
