family	verdict	rc	oracle_manifest_sha256	dump_manifest_sha256
mamba1	GREEN	0	55a946fecb51e2106730ea822d7f6f604cd2ea278eb62f77d062ffc9ac94f90a	85a254b74bde291da380838c0d67980a34cec5de2fd5275972d013032ab03c60
mamba2	GREEN	0	e362611ae17c5f80df3faad9983b8850f684be586ec657245a81ca23b8e6e3c9	ff1d04923df796262b955a9a1fd121d28cebca72b1a5f419a75336b6c12d1de5
mamba3	GREEN	0	5b3cf7c5b4a985eaf8ba8c6827fedf8be22f168a1675dfa89933223d9afbf181	d3650751e51cd42d1eeb556e8783a0fc3374f720e96017e95256c149c07cd915
mamba2-l257	GREEN	0	89adf8d761548f0d0ccf2d5dd4fae763c6994cc7b689ffb35228ef492d2f69fb	30e55cd47fa608873a1c26a03f2dfacdf9f4dfce2c0bc7a91b7d53d80ccfd3bd
mamba2-state	GREEN	0	89adf8d761548f0d0ccf2d5dd4fae763c6994cc7b689ffb35228ef492d2f69fb	30e55cd47fa608873a1c26a03f2dfacdf9f4dfce2c0bc7a91b7d53d80ccfd3bd
