lane	base_med_s	pin_med_s	ratio	base_hash	pin_hash	verdict
gbdt	0.812149955	0.814369597	1.003	4a1588d5f77560b2,	4a1588d5f77560b2,	bits equal
rf	0.93501619	0.933089237	0.998	acfbdbde102e8c54,	acfbdbde102e8c54,	bits equal
et	2.48810968	2.490306827	1.001	a4d03520b4584c37,	a4d03520b4584c37,	bits equal
