lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
gbdt	5	7.263510	7.922052	1.091	1.076	1.253	6.424104	7.379710	7.470796	8.219599	55d4481128b8b268	edde9bd742ac76f3	fast!=ident bits
dbscan	5	0.621197	0.840081	1.352	1.098	1.630	0.572363	0.765038	0.779452	1.012602	9cda87ce5c6b3c85	9cda87ce5c6b3c85	fast==ident bits
