lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
kmeans	3	0.060808	0.065278	1.074	1.059	1.088	0.060524	0.061623	0.064486	0.066139	af939121e4f3f09e	caa59e8ae153607e	fast!=ident bits
knn	3	0.003820	0.027776	7.271	7.210	7.287	0.003811	0.003852	0.027759	0.027837	c8a93c138ceb9be5	ace2883778a10918	fast!=ident bits
dbscan	3	0.237472	0.227554	0.958	0.949	0.961	0.236934	0.238980	0.226863	0.227605	5a49a8eddfd34591	5a49a8eddfd34591	fast==ident bits
gram	3	0.000896	0.001909	2.129	2.121	2.132	0.000896	0.000900	0.001908	0.001910	4dcf23d684837698	33eca610f6f32a1c	fast!=ident bits
nt	3	0.000084	0.001104	13.104	10.969	13.144	0.000084	0.000101	0.001104	0.001105	7794a5e6e572384d	bf48d23d15b01a74	fast!=ident bits
gemv	3	0.000029	0.000289	9.989	9.771	10.158	0.000028	0.000030	0.000289	0.000290	3bc5df18701df6d1	d93b9dc2340c96a4	fast!=ident bits
gbdt	3	0.892290	0.836862	0.938	0.922	0.945	0.885729	0.915021	0.836361	0.843760	320c7d8a8e46921f	f8ccfb0d67e1674b	fast!=ident bits
rf	3	0.772033	0.763115	0.988	0.958	1.010	0.757380	0.795999	0.762206	0.764691	f6605d229455c942	f6605d229455c942	fast==ident bits
et	3	3.297449	3.299169	1.001	0.987	1.006	3.294649	3.343586	3.299162	3.315922	f6cec505b824d346	f6cec505b824d346	fast==ident bits
