NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host'] commit=6beb3d394baf21dad5381f2ca11cc043c774dbcf
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| gbdt-feature-freq/hashed     | infer  | IDENTICAL x4 | cf308a4c656bfbdc | cf308a4c656bfbdc | cf308a4c656bfbdc | cf308a4c656bfbdc |
| gbdt-feature-freq/hashed     | model  | IDENTICAL x4 | bf3222bbcdf1f476 | bf3222bbcdf1f476 | bf3222bbcdf1f476 | bf3222bbcdf1f476 |
| gbdt-feature-freq/hashed     | batch  | IDENTICAL x4 | 77ce3ccc6c9f7e94 | 77ce3ccc6c9f7e94 | 77ce3ccc6c9f7e94 | 77ce3ccc6c9f7e94 |
| gbdt-feature-freq/negative   | infer  | IDENTICAL x4 | 5a5944c8b884be8c | 5a5944c8b884be8c | 5a5944c8b884be8c | 5a5944c8b884be8c |
| gbdt-feature-freq/negative   | model  | IDENTICAL x4 | 0794be87633fd36b | 0794be87633fd36b | 0794be87633fd36b | 0794be87633fd36b |
| gbdt-feature-freq/negative   | batch  | IDENTICAL x4 | d92c8eb873f86399 | d92c8eb873f86399 | d92c8eb873f86399 | d92c8eb873f86399 |
| gbdt-feature-freq/odd        | infer  | IDENTICAL x4 | 711887d930537c47 | 711887d930537c47 | 711887d930537c47 | 711887d930537c47 |
| gbdt-feature-freq/odd        | model  | IDENTICAL x4 | 53a4160101e38573 | 53a4160101e38573 | 53a4160101e38573 | 53a4160101e38573 |
| gbdt-feature-freq/odd        | batch  | IDENTICAL x4 | bfe39e4c9f5bacc7 | bfe39e4c9f5bacc7 | bfe39e4c9f5bacc7 | bfe39e4c9f5bacc7 |
| gbdt-feature-freq/ties       | infer  | IDENTICAL x4 | 41371bafcf6397a3 | 41371bafcf6397a3 | 41371bafcf6397a3 | 41371bafcf6397a3 |
| gbdt-feature-freq/ties       | model  | IDENTICAL x4 | a7417c31e1b422b4 | a7417c31e1b422b4 | a7417c31e1b422b4 | a7417c31e1b422b4 |
| gbdt-feature-freq/ties       | batch  | IDENTICAL x4 | 2de7d484a30cee05 | 2de7d484a30cee05 | 2de7d484a30cee05 | 2de7d484a30cee05 |
| gbdt-feature-freq/wide       | infer  | IDENTICAL x4 | 2a4274996f907f13 | 2a4274996f907f13 | 2a4274996f907f13 | 2a4274996f907f13 |
| gbdt-feature-freq/wide       | model  | IDENTICAL x4 | 6b7d9eddfa4b79b6 | 6b7d9eddfa4b79b6 | 6b7d9eddfa4b79b6 | 6b7d9eddfa4b79b6 |
| gbdt-feature-freq/wide       | batch  | IDENTICAL x4 | 367ed0852797c66b | 367ed0852797c66b | 367ed0852797c66b | 367ed0852797c66b |
| gbdt-ordered-rmse/base       | infer  | IDENTICAL x4 | 3113f83d552f6e3e | 3113f83d552f6e3e | 3113f83d552f6e3e | 3113f83d552f6e3e |
| gbdt-ordered-rmse/base       | model  | IDENTICAL x4 | 43540d21322226ab | 43540d21322226ab | 43540d21322226ab | 43540d21322226ab |
| gbdt-ordered-rmse/base       | batch  | IDENTICAL x4 | 5cd33ee932513206 | 5cd33ee932513206 | 5cd33ee932513206 | 5cd33ee932513206 |
| gbdt-ordered-rmse/denormal   | infer  | IDENTICAL x4 | 52d52c2862c2d480 | 52d52c2862c2d480 | 52d52c2862c2d480 | 52d52c2862c2d480 |
| gbdt-ordered-rmse/denormal   | model  | IDENTICAL x4 | ba60376e07b69433 | ba60376e07b69433 | ba60376e07b69433 | ba60376e07b69433 |
| gbdt-ordered-rmse/denormal   | batch  | IDENTICAL x4 | 37faad1b0ae508e9 | 37faad1b0ae508e9 | 37faad1b0ae508e9 | 37faad1b0ae508e9 |
| gbdt-ordered-rmse/denormal_ftz | infer  | IDENTICAL x4 | 9f09dbf44c4ea866 | 9f09dbf44c4ea866 | 9f09dbf44c4ea866 | 9f09dbf44c4ea866 |
| gbdt-ordered-rmse/denormal_ftz | model  | IDENTICAL x4 | 7997d9773285efc3 | 7997d9773285efc3 | 7997d9773285efc3 | 7997d9773285efc3 |
| gbdt-ordered-rmse/denormal_ftz | batch  | IDENTICAL x4 | ccafd9d9faa33059 | ccafd9d9faa33059 | ccafd9d9faa33059 | ccafd9d9faa33059 |
| gbdt-ordered-rmse/dupes      | infer  | IDENTICAL x4 | 957a66a8423c3f6d | 957a66a8423c3f6d | 957a66a8423c3f6d | 957a66a8423c3f6d |
| gbdt-ordered-rmse/dupes      | model  | IDENTICAL x4 | c73190381d66d9bf | c73190381d66d9bf | c73190381d66d9bf | c73190381d66d9bf |
| gbdt-ordered-rmse/dupes      | batch  | IDENTICAL x4 | 0526edd73c9b9280 | 0526edd73c9b9280 | 0526edd73c9b9280 | 0526edd73c9b9280 |
| gbdt-ordered-rmse/hashed     | infer  | IDENTICAL x4 | 405de4dd63f5341a | 405de4dd63f5341a | 405de4dd63f5341a | 405de4dd63f5341a |
| gbdt-ordered-rmse/hashed     | model  | IDENTICAL x4 | e3e28f37057e2029 | e3e28f37057e2029 | e3e28f37057e2029 | e3e28f37057e2029 |
| gbdt-ordered-rmse/hashed     | batch  | IDENTICAL x4 | c24af09f63a1ff94 | c24af09f63a1ff94 | c24af09f63a1ff94 | c24af09f63a1ff94 |
| gbdt-ordered-rmse/negative   | infer  | IDENTICAL x4 | 82e128c769eb2778 | 82e128c769eb2778 | 82e128c769eb2778 | 82e128c769eb2778 |
| gbdt-ordered-rmse/negative   | model  | IDENTICAL x4 | 91ecd6c2cdf861d2 | 91ecd6c2cdf861d2 | 91ecd6c2cdf861d2 | 91ecd6c2cdf861d2 |
| gbdt-ordered-rmse/negative   | batch  | IDENTICAL x4 | c325266510844f36 | c325266510844f36 | c325266510844f36 | c325266510844f36 |
| gbdt-ordered-rmse/odd        | infer  | IDENTICAL x4 | c7f0cb99b920a716 | c7f0cb99b920a716 | c7f0cb99b920a716 | c7f0cb99b920a716 |
| gbdt-ordered-rmse/odd        | model  | IDENTICAL x4 | 4d02412a6fa569f9 | 4d02412a6fa569f9 | 4d02412a6fa569f9 | 4d02412a6fa569f9 |
| gbdt-ordered-rmse/odd        | batch  | IDENTICAL x4 | c05993b79c89e09a | c05993b79c89e09a | c05993b79c89e09a | c05993b79c89e09a |
| gbdt-ordered-rmse/ties       | infer  | IDENTICAL x4 | ca0189610e51bc17 | ca0189610e51bc17 | ca0189610e51bc17 | ca0189610e51bc17 |
| gbdt-ordered-rmse/ties       | model  | IDENTICAL x4 | f9192cb03ecc6ece | f9192cb03ecc6ece | f9192cb03ecc6ece | f9192cb03ecc6ece |
| gbdt-ordered-rmse/ties       | batch  | IDENTICAL x4 | 7fa28c2d36832787 | 7fa28c2d36832787 | 7fa28c2d36832787 | 7fa28c2d36832787 |
| gbdt-ordered-rmse/wide       | infer  | IDENTICAL x4 | 7172e83c3f745933 | 7172e83c3f745933 | 7172e83c3f745933 | 7172e83c3f745933 |
| gbdt-ordered-rmse/wide       | model  | IDENTICAL x4 | a9b709a9373fae6f | a9b709a9373fae6f | a9b709a9373fae6f | a9b709a9373fae6f |
| gbdt-ordered-rmse/wide       | batch  | IDENTICAL x4 | 6b8ccb2798f6e41f | 6b8ccb2798f6e41f | 6b8ccb2798f6e41f | 6b8ccb2798f6e41f |
| gbdt-pointwise-l2-bayesian-eval/base | infer  | IDENTICAL x4 | 2754757c200872f3 | 2754757c200872f3 | 2754757c200872f3 | 2754757c200872f3 |
| gbdt-pointwise-l2-bayesian-eval/base | model  | IDENTICAL x4 | c29dddb945d072a8 | c29dddb945d072a8 | c29dddb945d072a8 | c29dddb945d072a8 |
| gbdt-pointwise-l2-bayesian-eval/base | batch  | IDENTICAL x4 | 3fd0fe4443273a54 | 3fd0fe4443273a54 | 3fd0fe4443273a54 | 3fd0fe4443273a54 |
| gbdt-pointwise-l2-bayesian-eval/denormal | infer  | IDENTICAL x4 | 2754757c200872f3 | 2754757c200872f3 | 2754757c200872f3 | 2754757c200872f3 |
| gbdt-pointwise-l2-bayesian-eval/denormal | model  | IDENTICAL x4 | cc76fd996e83a163 | cc76fd996e83a163 | cc76fd996e83a163 | cc76fd996e83a163 |
| gbdt-pointwise-l2-bayesian-eval/denormal | batch  | IDENTICAL x4 | 3fd0fe4443273a54 | 3fd0fe4443273a54 | 3fd0fe4443273a54 | 3fd0fe4443273a54 |
| gbdt-pointwise-l2-bayesian-eval/denormal_ftz | infer  | IDENTICAL x4 | 2754757c200872f3 | 2754757c200872f3 | 2754757c200872f3 | 2754757c200872f3 |
