create (POST to ssh up)	35
arm (on-pod watchdog)	4
stage (source + R2 URL maps)	12
env (pixi binary + envs)	7
build (host bindings)	0
run (command)	6
create to first result (POST to command end)	65
cache upload (misses only)	0
fetch	1
teardown (DELETE to verified gone)	2
billed (POST to verified gone)	75
spend	$0.0050 at $0.24/hr
