NOTE: --lanes scopes this diff to 31 lane(s); 135 other lane(s) the JSONs carry are not compared
| lane/fixture                 | verdict    | nvidia-2xh100-sm_90a | amd-2xmi300x-gfx942 | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 |
| par-boosting/hashed          | IDENTICAL x5 | cf3de2636433b65a | cf3de2636433b65a | cf3de2636433b65a | cf3de2636433b65a | cf3de2636433b65a |
| par-boosting/negative        | IDENTICAL x5 | fb9966f26639c286 | fb9966f26639c286 | fb9966f26639c286 | fb9966f26639c286 | fb9966f26639c286 |
| par-boosting/odd             | IDENTICAL x5 | 0836bd47530040d0 | 0836bd47530040d0 | 0836bd47530040d0 | 0836bd47530040d0 | 0836bd47530040d0 |
| par-boosting/ties            | IDENTICAL x5 | b32c469f812adf25 | b32c469f812adf25 | b32c469f812adf25 | b32c469f812adf25 | b32c469f812adf25 |
| par-boosting/wide            | IDENTICAL x5 | bc0084b9b1e30f87 | bc0084b9b1e30f87 | bc0084b9b1e30f87 | bc0084b9b1e30f87 | bc0084b9b1e30f87 |
| par-byte-lm-model-pool/base  | IDENTICAL x5 | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc |
| par-byte-lm-model-pool/denormal | IDENTICAL x5 | 36c57f619628a629 | 36c57f619628a629 | 36c57f619628a629 | 36c57f619628a629 | 36c57f619628a629 |
| par-byte-lm-model-pool/denormal_ftz | IDENTICAL x5 | 33a04d5fd2d480a4 | 33a04d5fd2d480a4 | 33a04d5fd2d480a4 | 33a04d5fd2d480a4 | 33a04d5fd2d480a4 |
| par-byte-lm-model-pool/dupes | IDENTICAL x5 | 1ad7a65f9aa45cf8 | 1ad7a65f9aa45cf8 | 1ad7a65f9aa45cf8 | 1ad7a65f9aa45cf8 | 1ad7a65f9aa45cf8 |
| par-byte-lm-model-pool/hashed | IDENTICAL x5 | 407da1849795daa4 | 407da1849795daa4 | 407da1849795daa4 | 407da1849795daa4 | 407da1849795daa4 |
| par-byte-lm-model-pool/negative | IDENTICAL x5 | 6610a15cea01cbd1 | 6610a15cea01cbd1 | 6610a15cea01cbd1 | 6610a15cea01cbd1 | 6610a15cea01cbd1 |
| par-byte-lm-model-pool/odd   | IDENTICAL x5 | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc |
| par-byte-lm-model-pool/ties  | IDENTICAL x5 | c5fd6583ac8ddf9a | c5fd6583ac8ddf9a | c5fd6583ac8ddf9a | c5fd6583ac8ddf9a | c5fd6583ac8ddf9a |
| par-byte-lm-model-pool/wide  | IDENTICAL x5 | ed030c5713cf36a8 | ed030c5713cf36a8 | ed030c5713cf36a8 | ed030c5713cf36a8 | ed030c5713cf36a8 |
| par-byte-lm-offload/base     | IDENTICAL x5 | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc |
| par-byte-lm-offload/denormal | IDENTICAL x5 | 36c57f619628a629 | 36c57f619628a629 | 36c57f619628a629 | 36c57f619628a629 | 36c57f619628a629 |
| par-byte-lm-offload/denormal_ftz | IDENTICAL x5 | 33a04d5fd2d480a4 | 33a04d5fd2d480a4 | 33a04d5fd2d480a4 | 33a04d5fd2d480a4 | 33a04d5fd2d480a4 |
| par-byte-lm-offload/dupes    | IDENTICAL x5 | 1ad7a65f9aa45cf8 | 1ad7a65f9aa45cf8 | 1ad7a65f9aa45cf8 | 1ad7a65f9aa45cf8 | 1ad7a65f9aa45cf8 |
| par-byte-lm-offload/hashed   | IDENTICAL x5 | 407da1849795daa4 | 407da1849795daa4 | 407da1849795daa4 | 407da1849795daa4 | 407da1849795daa4 |
| par-byte-lm-offload/negative | IDENTICAL x5 | 6610a15cea01cbd1 | 6610a15cea01cbd1 | 6610a15cea01cbd1 | 6610a15cea01cbd1 | 6610a15cea01cbd1 |
| par-byte-lm-offload/odd      | IDENTICAL x5 | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc | 3d26daba7af771cc |
| par-byte-lm-offload/ties     | IDENTICAL x5 | c5fd6583ac8ddf9a | c5fd6583ac8ddf9a | c5fd6583ac8ddf9a | c5fd6583ac8ddf9a | c5fd6583ac8ddf9a |
| par-byte-lm-offload/wide     | IDENTICAL x5 | ed030c5713cf36a8 | ed030c5713cf36a8 | ed030c5713cf36a8 | ed030c5713cf36a8 | ed030c5713cf36a8 |
| par-byte-lm/base             | IDENTICAL x5 | eb83c1c233f68756 | eb83c1c233f68756 | eb83c1c233f68756 | eb83c1c233f68756 | eb83c1c233f68756 |
| par-byte-lm/denormal         | IDENTICAL x5 | c958c8af2e505ca0 | c958c8af2e505ca0 | c958c8af2e505ca0 | c958c8af2e505ca0 | c958c8af2e505ca0 |
| par-byte-lm/denormal_ftz     | IDENTICAL x5 | aedc78ea66ef018c | aedc78ea66ef018c | aedc78ea66ef018c | aedc78ea66ef018c | aedc78ea66ef018c |
| par-byte-lm/dupes            | IDENTICAL x5 | dc65953fd8966eb3 | dc65953fd8966eb3 | dc65953fd8966eb3 | dc65953fd8966eb3 | dc65953fd8966eb3 |
| par-byte-lm/hashed           | IDENTICAL x5 | ddb13a422e4d2858 | ddb13a422e4d2858 | ddb13a422e4d2858 | ddb13a422e4d2858 | ddb13a422e4d2858 |
| par-byte-lm/negative         | IDENTICAL x5 | 63db87a288142b29 | 63db87a288142b29 | 63db87a288142b29 | 63db87a288142b29 | 63db87a288142b29 |
| par-byte-lm/odd              | IDENTICAL x5 | eb83c1c233f68756 | eb83c1c233f68756 | eb83c1c233f68756 | eb83c1c233f68756 | eb83c1c233f68756 |
| par-byte-lm/ties             | IDENTICAL x5 | 3b5c2f34bf09e8c9 | 3b5c2f34bf09e8c9 | 3b5c2f34bf09e8c9 | 3b5c2f34bf09e8c9 | 3b5c2f34bf09e8c9 |
| par-byte-lm/wide             | IDENTICAL x5 | 7ab80fd955e23d77 | 7ab80fd955e23d77 | 7ab80fd955e23d77 | 7ab80fd955e23d77 | 7ab80fd955e23d77 |
| par-cd/base                  | IDENTICAL x5 | 2fa3301e45a46091 | 2fa3301e45a46091 | 2fa3301e45a46091 | 2fa3301e45a46091 | 2fa3301e45a46091 |
| par-cd/denormal              | IDENTICAL x5 | 5374b434a96382d6 | 5374b434a96382d6 | 5374b434a96382d6 | 5374b434a96382d6 | 5374b434a96382d6 |
| par-cd/denormal_ftz          | IDENTICAL x5 | 5374b434a96382d6 | 5374b434a96382d6 | 5374b434a96382d6 | 5374b434a96382d6 | 5374b434a96382d6 |
| par-cd/dupes                 | IDENTICAL x5 | beafb1d480c34cf4 | beafb1d480c34cf4 | beafb1d480c34cf4 | beafb1d480c34cf4 | beafb1d480c34cf4 |
| par-cd/hashed                | IDENTICAL x5 | 0446105edc307f9c | 0446105edc307f9c | 0446105edc307f9c | 0446105edc307f9c | 0446105edc307f9c |
| par-cd/negative              | IDENTICAL x5 | c332c713694ff28d | c332c713694ff28d | c332c713694ff28d | c332c713694ff28d | c332c713694ff28d |
| par-cd/odd                   | IDENTICAL x5 | 5593579edd6113d6 | 5593579edd6113d6 | 5593579edd6113d6 | 5593579edd6113d6 | 5593579edd6113d6 |
| par-cd/ties                  | IDENTICAL x5 | 1e207f82f555270b | 1e207f82f555270b | 1e207f82f555270b | 1e207f82f555270b | 1e207f82f555270b |
| par-cd/wide                  | IDENTICAL x5 | d0df889b0ede05a7 | d0df889b0ede05a7 | d0df889b0ede05a7 | d0df889b0ede05a7 | d0df889b0ede05a7 |
| par-dbscan/base              | IDENTICAL x5 | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b |
| par-dbscan/denormal          | IDENTICAL x5 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| par-dbscan/denormal_ftz      | IDENTICAL x5 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 | 9c0b3563fc16b652 |
| par-dbscan/dupes             | IDENTICAL x5 | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b | 64df251bd00de81b |
| par-dbscan/hashed            | IDENTICAL x5 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| par-dbscan/negative          | IDENTICAL x5 | bb6bd31e075693e9 | bb6bd31e075693e9 | bb6bd31e075693e9 | bb6bd31e075693e9 | bb6bd31e075693e9 |
| par-dbscan/odd               | IDENTICAL x5 | 54d129f45630ea84 | 54d129f45630ea84 | 54d129f45630ea84 | 54d129f45630ea84 | 54d129f45630ea84 |
| par-dbscan/ties              | IDENTICAL x5 | b7535355c1581603 | b7535355c1581603 | b7535355c1581603 | b7535355c1581603 | b7535355c1581603 |
| par-dbscan/wide              | IDENTICAL x5 | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d | d17808b4b9261d5d |
| par-feature-freq/base        | IDENTICAL x5 | 7d9c56b51213cb42 | 7d9c56b51213cb42 | 7d9c56b51213cb42 | 7d9c56b51213cb42 | 7d9c56b51213cb42 |
