# the batch part of diff.three-columns.txt: every batch row and its summary
|------------------------------|------------|------------------|------------------|------------------|
| arima-seasonal-c/negative    | batch  | IDENTICAL x3 | f83eb3f3f676182b | f83eb3f3f676182b | f83eb3f3f676182b |
| arima-seasonal-c/odd         | batch  | IDENTICAL x3 | 0da2e77d1a656b25 | 0da2e77d1a656b25 | 0da2e77d1a656b25 |
| arima-seasonal-c/ties        | batch  | IDENTICAL x3 | aa51c6b43366533d | aa51c6b43366533d | aa51c6b43366533d |
| arima-seasonal-c/wide        | batch  | IDENTICAL x3 | 10421c6b3abc2563 | 10421c6b3abc2563 | 10421c6b3abc2563 |
| arima/base                   | batch  | IDENTICAL x3 | cef3c859431cbbaf | cef3c859431cbbaf | cef3c859431cbbaf |
| arima/denormal               | batch  | IDENTICAL x3 | a5e918e8c07deeeb | a5e918e8c07deeeb | a5e918e8c07deeeb |
| arima/denormal_ftz           | batch  | IDENTICAL x3 | a5e918e8c07deeeb | a5e918e8c07deeeb | a5e918e8c07deeeb |
| arima/dupes                  | batch  | IDENTICAL x3 | cef3c859431cbbaf | cef3c859431cbbaf | cef3c859431cbbaf |
| arima/hashed                 | batch  | IDENTICAL x3 | 4d744e464df6b3d6 | 4d744e464df6b3d6 | 4d744e464df6b3d6 |
| arima/negative               | batch  | IDENTICAL x3 | a00b86402bf13b42 | a00b86402bf13b42 | a00b86402bf13b42 |
| arima/odd                    | batch  | IDENTICAL x3 | 8e0a0c4068873ad7 | 8e0a0c4068873ad7 | 8e0a0c4068873ad7 |
| arima/ties                   | batch  | IDENTICAL x3 | 7abdf42416059c68 | 7abdf42416059c68 | 7abdf42416059c68 |
| arima/wide                   | batch  | IDENTICAL x3 | 9103785606065f64 | 9103785606065f64 | 9103785606065f64 |
| bootstrap/base               | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| bootstrap/denormal           | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| bootstrap/denormal_ftz       | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| bootstrap/dupes              | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| bootstrap/hashed             | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| bootstrap/negative           | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| bootstrap/odd                | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| bootstrap/ties               | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| bootstrap/wide               | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| byte-lm-host-infer-threaded/base | batch  | IDENTICAL x3 | 2eccb20888ca5cee | 2eccb20888ca5cee | 2eccb20888ca5cee |
| byte-lm-host-infer-threaded/denormal | batch  | IDENTICAL x3 | faffe97b72d9fe37 | faffe97b72d9fe37 | faffe97b72d9fe37 |
| byte-lm-host-infer-threaded/denormal_ftz | batch  | IDENTICAL x3 | 939402dcf3954d4f | 939402dcf3954d4f | 939402dcf3954d4f |
| byte-lm-host-infer-threaded/dupes | batch  | IDENTICAL x3 | 11238b320c9572d3 | 11238b320c9572d3 | 11238b320c9572d3 |
| byte-lm-host-infer-threaded/hashed | batch  | IDENTICAL x3 | 2e1facc4833a2235 | 2e1facc4833a2235 | 2e1facc4833a2235 |
| byte-lm-host-infer-threaded/negative | batch  | IDENTICAL x3 | 50b6c632cc98d71b | 50b6c632cc98d71b | 50b6c632cc98d71b |
| byte-lm-host-infer-threaded/odd | batch  | IDENTICAL x3 | 2eccb20888ca5cee | 2eccb20888ca5cee | 2eccb20888ca5cee |
| byte-lm-host-infer-threaded/ties | batch  | IDENTICAL x3 | 4247444b5e741c45 | 4247444b5e741c45 | 4247444b5e741c45 |
| byte-lm-host-infer-threaded/wide | batch  | IDENTICAL x3 | c2bbaa85ae76f739 | c2bbaa85ae76f739 | c2bbaa85ae76f739 |
| byte-lm-host-infer/base      | batch  | IDENTICAL x3 | 2eccb20888ca5cee | 2eccb20888ca5cee | 2eccb20888ca5cee |
