column	corpus	median_seconds	tokens_per_second	sdpa_selected	sdpa_observed
eager_fp32	enwik8	0.050049	40919.7	efficient	efficient
eager_fp32	pile_github	0.049994	40965.1	efficient	efficient
eager_tf32	enwik8	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
eager_tf32	pile_github	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
eager_bf16	enwik8	0.033746	60688.5	torch_default	flash
eager_bf16	pile_github	0.039200	52244.6	torch_default	flash
compile_fp32	enwik8	0.045101	45408.7	efficient	efficient
compile_fp32	pile_github	0.045270	45239.6	efficient	efficient
compile_tf32	enwik8	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
compile_tf32	pile_github	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE
compile_bf16	enwik8	0.032278	63449.6	torch_default	flash
compile_bf16	pile_github	0.020544	99686.7	torch_default	flash
