Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.6,1489398588,2,744699294.0,744699294.0,703999995,785398593,57557500.6,cuMemAllocHost_v2
40.4,1062286049,1869,568371.3,7582.0,1602,65137919,2651952.3,cuStreamSynchronize
1.2,31064466,48,647176.4,210267.5,80261,5999469,1064726.3,cuModuleLoadDataEx
0.6,16504404,136,121355.9,96240.5,71458,976426,122442.0,cuMemSetAccess
0.3,8220418,1883,4365.6,2994.0,2284,1447378,33357.7,cuLaunchKernelEx
0.3,6749380,136,49627.8,22449.0,17737,630092,85390.7,cuMemCreate
0.2,5158678,136,37931.5,27677.0,24387,535720,48587.0,cuMemMap
0.2,4474683,2591,1727.0,1683.0,271,10717,476.4,cuEventQuery
0.1,3274769,1015,3226.4,2674.0,1492,36224,2102.8,cuMemsetD32Async
0.1,1512930,335,4516.2,3315.0,2103,35203,3360.3,cuMemcpyDtoHAsync_v2
0.0,1220027,10154,120.2,80.0,60,3866,108.0,cuStreamIsCapturing
0.0,1008096,2553,394.9,311.0,190,9995,507.0,cuEventRecord
0.0,760027,117,6496.0,4476.0,2354,38498,6103.2,cuMemcpyHtoDAsync_v2
0.0,233633,48,4867.4,4802.0,3104,11327,1702.1,cuMemcpyDtoDAsync_v2
0.0,156526,1,156526.0,156526.0,156526,156526,0.0,cuStreamCreate
0.0,37728,1,37728.0,37728.0,37728,37728,0.0,cuMemAddressReserve
0.0,20191,1,20191.0,20191.0,20191,20191,0.0,cuStreamDestroy
0.0,7121,2,3560.5,3560.5,120,7001,4865.6,cuMemGetAllocationGranularity
0.0,2053,2,1026.5,1026.5,631,1422,559.3,cuEventCreate
0.0,931,1,931.0,931.0,931,931,0.0,cuCtxSetCurrent
