NOTE: --lanes scopes this diff to 2 lane(s); 164 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_mamba_host', '_mojolearn_training_host', '_mojolearn_transformer_host'] commit=4cc3609e29decd335496e069032d3fcfc266b0d6
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| samba-untied-dropout-accum/odd | model  | IDENTICAL x4 | 4c6bb23f04af6858 | 4c6bb23f04af6858 | 4c6bb23f04af6858 | 4c6bb23f04af6858 |
| samba-untied-dropout-accum/odd | batch  | IDENTICAL x4 | 94c79045f8d92d80 | 94c79045f8d92d80 | 94c79045f8d92d80 | 94c79045f8d92d80 |
| samba-untied-dropout-accum/ties | infer  | IDENTICAL x4 | bb32b8aebf4dc90e | bb32b8aebf4dc90e | bb32b8aebf4dc90e | bb32b8aebf4dc90e |
| samba-untied-dropout-accum/ties | model  | IDENTICAL x4 | 9818c749c2dfc7ea | 9818c749c2dfc7ea | 9818c749c2dfc7ea | 9818c749c2dfc7ea |
| samba-untied-dropout-accum/ties | batch  | IDENTICAL x4 | 4130d70c2c138b0e | 4130d70c2c138b0e | 4130d70c2c138b0e | 4130d70c2c138b0e |
| samba-untied-dropout-accum/wide | infer  | IDENTICAL x4 | 21601e087bd7d274 | 21601e087bd7d274 | 21601e087bd7d274 | 21601e087bd7d274 |
| samba-untied-dropout-accum/wide | model  | IDENTICAL x4 | 98b807c41ebff82a | 98b807c41ebff82a | 98b807c41ebff82a | 98b807c41ebff82a |
| samba-untied-dropout-accum/wide | batch  | IDENTICAL x4 | fb9e91204daaf37e | fb9e91204daaf37e | fb9e91204daaf37e | fb9e91204daaf37e |
| samba/base                   | infer  | IDENTICAL x4 | 77db10c414ebd846 | 77db10c414ebd846 | 77db10c414ebd846 | 77db10c414ebd846 |
| samba/base                   | model  | IDENTICAL x4 | 674582804fcf1a50 | 674582804fcf1a50 | 674582804fcf1a50 | 674582804fcf1a50 |
| samba/base                   | batch  | IDENTICAL x4 | aacbe0585755bc0f | aacbe0585755bc0f | aacbe0585755bc0f | aacbe0585755bc0f |
| samba/denormal               | infer  | IDENTICAL x4 | ca618a38cf786fa4 | ca618a38cf786fa4 | ca618a38cf786fa4 | ca618a38cf786fa4 |
| samba/denormal               | model  | IDENTICAL x4 | f7f05521e7cdfec7 | f7f05521e7cdfec7 | f7f05521e7cdfec7 | f7f05521e7cdfec7 |
| samba/denormal               | batch  | IDENTICAL x4 | f5880effe032ad0f | f5880effe032ad0f | f5880effe032ad0f | f5880effe032ad0f |
| samba/denormal_ftz           | infer  | IDENTICAL x4 | b728af86ccc442fb | b728af86ccc442fb | b728af86ccc442fb | b728af86ccc442fb |
| samba/denormal_ftz           | model  | IDENTICAL x4 | f34e7e4227d3ab4b | f34e7e4227d3ab4b | f34e7e4227d3ab4b | f34e7e4227d3ab4b |
| samba/denormal_ftz           | batch  | IDENTICAL x4 | d765507d7d144423 | d765507d7d144423 | d765507d7d144423 | d765507d7d144423 |
| samba/dupes                  | infer  | IDENTICAL x4 | 3bb2585d8a536f77 | 3bb2585d8a536f77 | 3bb2585d8a536f77 | 3bb2585d8a536f77 |
| samba/dupes                  | model  | IDENTICAL x4 | 5113ff087cd1d774 | 5113ff087cd1d774 | 5113ff087cd1d774 | 5113ff087cd1d774 |
| samba/dupes                  | batch  | IDENTICAL x4 | a77ce9563430eca6 | a77ce9563430eca6 | a77ce9563430eca6 | a77ce9563430eca6 |
| samba/hashed                 | infer  | IDENTICAL x4 | b0b897d724d5a625 | b0b897d724d5a625 | b0b897d724d5a625 | b0b897d724d5a625 |
| samba/hashed                 | model  | IDENTICAL x4 | 284aef669039f101 | 284aef669039f101 | 284aef669039f101 | 284aef669039f101 |
| samba/hashed                 | batch  | IDENTICAL x4 | 685cfa1d3a50b038 | 685cfa1d3a50b038 | 685cfa1d3a50b038 | 685cfa1d3a50b038 |
