Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.6,451219362,342,1319354.9,468977.0,462688,31219798,3924998.6,gemm_checks_gemm_identical_id6A6A6A6A6A6A_6e0e904c41851a9e
14.1,142259538,24,5927480.8,5932682.0,5906730,5945194,11650.5,transformer_impl_llama_fused_6A6A6A6A6A6A_ea5e02c1382b1cb1
13.5,136119147,168,810233.0,483121.0,479201,1258850,380327.8,gemm_checks_gemm_identical_id6A6A6A6A6A6A_4756606400325dd8
6.7,67837045,24,2826543.5,2827093.0,2818693,2833061,5027.6,transformer_impl_llama_fused_6A6A6A6A6A6A_02d8dd47cde62a5a
5.9,59686181,24,2486924.2,2487556.0,2478372,2493188,4516.8,transformer_impl_llama_fused_6A6A6A6A6A6A_fb2c898df8c53490
5.0,50464243,24,2102676.8,2102452.0,2099748,2106787,1771.0,transformer_impl_llama_fused_6A6A6A6A6A6A_964c2d2a2e133c3e
1.2,12018804,2,6009402.0,6009402.0,5999786,6019018,13599.1,gemm_checks_gemm_identical_id6A6A6A6A6A6A_eb2603ea9b3de8e2
1.1,11628212,196,59327.6,8336.0,1600,1315234,183655.7,core_device_scan_nonfinite_par6A6A6A6A_28fad9a019791bcb
0.9,8872587,168,52813.0,44480.0,43360,65344,10132.8,gemm_checks_gemm_identical_id6A6A6A6A6A6A_9e709e2daee4e9cf
0.8,8576527,48,178677.6,179136.0,169824,190400,6189.0,transformer_impl_llama_modeli6A6A6A6A6A6A_cf267eddc9538886
0.4,4485671,2,2242835.5,2242835.5,2242755,2242916,113.8,training_checks_loss_ce_dlogi6A6A6A6A6A6A_c04c84fcbf303eae
0.4,4481416,2,2240708.0,2240708.0,2240420,2240996,407.3,training_checks_loss_ce_shift6A6A6A6A6A6A_218766696ebd603c
0.4,4312200,24,179675.0,179760.0,178176,181376,821.3,transformer_checks_transformer6A6A6A6A_701f75a72b36f978
0.4,4029607,168,23985.8,23536.0,21536,28544,2136.4,transformer_impl_llama_fused_6A6A6A6A6A6A_b136a97923f44f48
0.4,3958022,48,82458.8,82560.0,81249,84353,614.3,transformer_checks_transformer6A6A6A6A_e6813cc77d2443a7
0.4,3826502,2,1913251.0,1913251.0,1912739,1913763,724.1,training_checks_loss_ce_weigh6A6A6A6A6A6A_f4c7b7465777cbde
0.3,3488070,2,1744035.0,1744035.0,1740035,1748035,5656.9,training_checks_optimizer_ada6A6A6A6A6A6A_81eff4f0d5b107d6
0.3,3392679,48,70680.8,70688.0,70528,70848,75.0,transformer_impl_llama_modeli6A6A6A6A6A6A_ba47439a475ad0ae
0.3,3351334,48,69819.5,69792.0,69568,70208,123.5,transformer_checks_transformer6A6A6A6A_9e49fedb5168a455
0.3,2824865,48,58851.4,58911.5,49888,68128,8562.6,transformer_checks_transformer6A6A6A6A_3506fb0dafb8105c
0.2,2063907,4,515976.8,516033.0,515297,516544,513.9,core_device_scan_negative_part6A6A6A6A_c691e2646998e577
