| lane/fixture                 | verdict    | arm64            | arm64            |
|------------------------------|------------|------------------|------------------|
| ivf-euclidean/base           | DIVERGENT  | parts differ: dist,idx,cand; agree: - | bea8eb47aeaadabb |
| ivf-euclidean/denormal       | DIVERGENT  | parts differ: dist,idx,cand; agree: - | 54e9bab0967441c7 |
| ivf/negative                 | model  | N/A          | n/a:no-save      | n/a:no-save      |
| ivf/negative                 | batch  | IDENTICAL x2 | 9786387eb7123b42 | 9786387eb7123b42 |
| ivf/odd                      | infer  | IDENTICAL x2 | 1e0c2401db49a53d | 1e0c2401db49a53d |
| ivf/odd                      | model  | N/A          | n/a:no-save      | n/a:no-save      |
| ivf/odd                      | batch  | IDENTICAL x2 | 8149b10d16c8ebaa | 8149b10d16c8ebaa |
| ivf/ties                     | infer  | IDENTICAL x2 | c62b1be91d40fc43 | c62b1be91d40fc43 |
| ivf/ties                     | model  | N/A          | n/a:no-save      | n/a:no-save      |
| ivf/ties                     | batch  | IDENTICAL x2 | 166f61a6e1f346b8 | 166f61a6e1f346b8 |
| ivf/wide                     | infer  | IDENTICAL x2 | 2bfe5d9bde8a2564 | 2bfe5d9bde8a2564 |
| ivf/wide                     | model  | N/A          | n/a:no-save      | n/a:no-save      |
| ivf/wide                     | batch  | IDENTICAL x2 | 3e09f4c3db3c3e66 | 3e09f4c3db3c3e66 |

summary (infer/model): DIVERGENT=9, IDENTICAL=9, N/A=18
summary (batch): DIVERGENT=9, IDENTICAL=9
