env	0	0	16:56:09
pixi-install	0	0	16:56:09
uv-get	0	1	16:56:10
venv	0	2	16:56:12
build-build	0	44	16:56:53
build-build_estimators	0	50	16:57:43
wheels	0	96	16:57:48
download-taxi	0	2	16:58:13
build-build_svm	0	41	16:58:24
builds-done	0	137	16:58:25
ours-import	0	0	16:58:25
setup-done	0	137	16:58:25
prep-taxi	0	1	16:59:51
race-kmeans-taxi	0	52	17:00:43
race-pca-taxi	0	27	17:01:10
race-ols-taxi	0	40	17:01:50
race-knn-taxi	0	49	17:02:39
race-kde-taxi	0	103	17:04:22
download-istella	0	160	17:04:51
race-svc-taxi	0	78	17:05:41
prep-istella	0	6	17:07:20
race-kmeans-istella	0	92	17:08:52
race-pca-istella	0	50	17:09:42
race-ols-istella	0	160	17:12:22
race-knn-istella	0	63	17:13:26
race-kde-istella	124	900	17:28:26
race-svc-istella	0	70	17:29:37
