lane	n	fast_med_s	ident_med_s	ratio_med	ratio_min	ratio_max	fast_min_s	fast_max_s	ident_min_s	ident_max_s	fast_hash	ident_hash	hash_note
kmeans	3	0.043708	0.048123	1.101	1.100	1.105	0.043520	0.043752	0.048075	0.048162	caa59e8ae153607e	caa59e8ae153607e	fast==ident bits
knn	3	0.002636	0.065564	24.872	24.431	24.952	0.002628	0.002645	0.064626	0.065653	MOVED	ace2883778a10918	FAST HASH MOVED across legs (3 distinct)
dbscan	3	0.288493	0.278258	0.965	0.964	0.965	0.288299	0.288640	0.278214	0.278482	ba4efce5899d8900	ba4efce5899d8900	fast==ident bits
gram	3	0.001225	0.002246	1.834	1.829	1.844	0.001219	0.001228	0.002245	0.002249	76f85725740a26b3	33eca610f6f32a1c	fast!=ident bits
nt	3	0.000081	0.000492	6.067	5.928	6.154	0.000080	0.000083	0.000492	0.000495	bf48d23d15b01a74	bf48d23d15b01a74	fast==ident bits
gemv	3	0.000026	0.000548	21.413	20.462	22.198	0.000025	0.000027	0.000548	0.000552	85c2a07bf282e0a5	d93b9dc2340c96a4	fast!=ident bits
gbdt	3	0.727090	0.531450	0.731	0.726	0.742	0.717859	0.731652	0.530773	0.539796	9277198f24f4a26f	f8ccfb0d67e1674b	fast!=ident bits
rf	3	0.607573	0.608217	1.001	0.999	1.003	0.607207	0.607834	0.606938	0.609225	32314ca1c01ab68f	f6605d229455c942	fast!=ident bits
et	3	3.257981	3.257879	1.000	0.999	1.001	3.252603	3.258857	3.250761	3.260056	f6cec505b824d346	f6cec505b824d346	fast==ident bits
