build-price	0	31s
build-arms-check	0	29s
arms-check	0	2s
smoke-stash_tiled_pf	0	1s
smoke-stash_tiled_fgrid_r64	0	1s
smoke-stash_tiled_fgrid_r32	0	1s
smoke-stash_tiled_fgrid_r32_qres	0	1s
smoke-stash_tiled_fgrid_r32_qres_pf	0	1s
build-binding-base	0	26s
build-binding-byte-lm	0	68s
corpus-enwik8	0	1s
corpus-pile-github	0	21s
dump-enwik8	0	22s
dump-pilegithub	0	21s
price-stash_tiled_pf	0	3s
price-stash_tiled_fgrid_r64	0	2s
price-stash_tiled_fgrid_r32	0	3s
price-stash_tiled_fgrid_r32_qres	0	3s
price-stash_tiled_fgrid_r32_qres_pf	0	2s
lm-stash_tiled-enwik8	0	41s
lmtiming-stash_tiled-enwik8	0	25s
lm-stash_tiled_fgrid_r32_qres_pf-enwik8	0	40s
lmtiming-stash_tiled_fgrid_r32_qres_pf-enwik8	0	24s
lm-stash_tiled_pf-enwik8	0	40s
lmtiming-stash_tiled_pf-enwik8	0	25s
lm-stash_tiled-pilegithub	0	40s
lmtiming-stash_tiled-pilegithub	0	25s
lm-stash_tiled_fgrid_r32_qres_pf-pilegithub	0	40s
lmtiming-stash_tiled_fgrid_r32_qres_pf-pilegithub	0	25s
lm-stash_tiled_pf-pilegithub	0	40s
lmtiming-stash_tiled_pf-pilegithub	0	24s
