NOTE: --lanes scopes this diff to 3 lane(s); 163 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_linalg_host', '_mojolearn_neural_host', '_mojolearn_training_host', '_mojolearn_transformer_host'] commit=fecde81e041be7edbfa44580e68b7016678ebe57
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| transformer-window/denormal  | infer  | DIVERGENT    | 82b8315aa5e3eff3 | 82b8315aa5e3eff3 | 82b8315aa5e3eff3 | f0a11d1b83f20677 |
| transformer-window/denormal  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer-window/denormal  | batch  | DIVERGENT    | 7c86487e6c8de244 | 7c86487e6c8de244 | 7c86487e6c8de244 | 586aec93e87b85e1 |
| transformer-window/denormal  | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | e6e8d4b4b5b5e46a |
| transformer-window/denormal_ftz | infer  | DIVERGENT    | 82b8315aa5e3eff3 | 82b8315aa5e3eff3 | 82b8315aa5e3eff3 | f0a11d1b83f20677 |
| transformer-window/denormal_ftz | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer-window/denormal_ftz | batch  | DIVERGENT    | 7c86487e6c8de244 | 7c86487e6c8de244 | 7c86487e6c8de244 | 586aec93e87b85e1 |
| transformer-window/denormal_ftz | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | f27349ced3ee6254 |
| transformer-window/dupes     | infer  | DIVERGENT    | c8727f6975c294a0 | c8727f6975c294a0 | c8727f6975c294a0 | 1493e7c0bee28ef3 |
| transformer-window/dupes     | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer-window/dupes     | batch  | DIVERGENT    | 2609e898b7c93177 | 2609e898b7c93177 | 2609e898b7c93177 | d1cee9c7a2caa1d2 |
| transformer-window/dupes     | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | c6f0e94cbc9ade59 |
| transformer-window/hashed    | infer  | DIVERGENT    | 980b88a5ef026b11 | 980b88a5ef026b11 | 980b88a5ef026b11 | dab8d98c6148a221 |
| transformer-window/hashed    | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer-window/hashed    | batch  | DIVERGENT    | 235440a27bc0150e | 235440a27bc0150e | 235440a27bc0150e | 937215b18f504c5f |
| transformer-window/hashed    | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 3ed927cc1a04c983 |
| transformer-window/negative  | infer  | DIVERGENT    | 4d10337584b45e49 | 4d10337584b45e49 | 4d10337584b45e49 | 1711b3adb8a2640c |
| transformer-window/negative  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer-window/negative  | batch  | DIVERGENT    | bda185330c5accc5 | bda185330c5accc5 | bda185330c5accc5 | d4a6f323bbcb88a3 |
| transformer-window/negative  | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 756fe43411985468 |
| transformer-window/odd       | infer  | DIVERGENT    | a35cf82209713d66 | a35cf82209713d66 | a35cf82209713d66 | 6d3cce5e3acb87de |
| transformer-window/odd       | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer-window/odd       | batch  | DIVERGENT    | e0499610bd0279e1 | e0499610bd0279e1 | e0499610bd0279e1 | ae6ecfa4f682d08e |
| transformer-window/odd       | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | c6f0e94cbc9ade59 |
| transformer-window/ties      | infer  | DIVERGENT    | 22a7a20579fe94db | 22a7a20579fe94db | 22a7a20579fe94db | c19a977595d7217f |
| transformer-window/ties      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer-window/ties      | batch  | DIVERGENT    | 27cdeafedfb90f1a | 27cdeafedfb90f1a | 27cdeafedfb90f1a | 9b1d3d92085ffdaf |
| transformer-window/ties      | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | cebcb9e7e839c5fd |
| transformer-window/wide      | infer  | DIVERGENT    | 75cf7df2cce4aea9 | 75cf7df2cce4aea9 | 75cf7df2cce4aea9 | e01bb81b8b745026 |
| transformer-window/wide      | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer-window/wide      | batch  | DIVERGENT    | 68798687c33a64ff | 68798687c33a64ff | 68798687c33a64ff | 7891decdc6d2bc03 |
| transformer-window/wide      | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | ec1cc10a6b0298e7 |
