NOTE: --lanes scopes this diff to 8 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host'] commit=bb937d57b15ab745d6db2d27a410b6bad2fb82f6
| lane/fixture                 | verdict    | apple-m4         | cpu-apple-m4     |
| kmeans-random/denormal       | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-random/denormal       | batch  | DIVERGENT    | 88799e781dfe5a5b | 1ed1e8a372d3afe3 |
| kmeans-random/odd            | infer  | DIVERGENT    | df29a616a051e530 | 68b4a3b3ba60d8f2 |
| kmeans-random/odd            | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-random/odd            | batch  | DIVERGENT    | 53b58fa53fc8a4c3 | 6d11f68eebedb955 |
| kmeans-random/ties           | infer  | DIVERGENT    | 6698384517f202cd | 4387a5ed3b409760 |
| kmeans-random/ties           | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-random/ties           | batch  | DIVERGENT    | 9dba3245a60df276 | 98299e229823f161 |
| kmeans-sqrt/base             | infer  | DIVERGENT    | 58a73ee6f884f892 | 9624cbf11a7d7e73 |
| kmeans-sqrt/base             | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-sqrt/base             | batch  | DIVERGENT    | 50d831d9342c295e | 8ee5aad8a6467af2 |
| kmeans-sqrt/denormal         | infer  | DIVERGENT    | 5613aee8380a3878 | 7e3cc6d93e2b4ad6 |
| kmeans-sqrt/denormal         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-sqrt/denormal         | batch  | DIVERGENT    | 79378a3a1acbc98e | b59424f6d9048225 |
| kmeans-sqrt/odd              | infer  | DIVERGENT    | d57783b77ce4e554 | 45657c14c347437d |
| kmeans-sqrt/odd              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-sqrt/odd              | batch  | DIVERGENT    | 308b44148cf1b4d5 | 34413a7f4fad5e65 |
| kmeans-sqrt/ties             | infer  | DIVERGENT    | 11403f38e806a8a7 | a482b6dc2d4359fe |
| kmeans-sqrt/ties             | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-sqrt/ties             | batch  | DIVERGENT    | 59f927df98783136 | f9164358500c0ecd |
| kmeans-weighted/base         | infer  | DIVERGENT    | 33403bafb4259ce4 | d0c446c1686e1961 |
| kmeans-weighted/base         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-weighted/base         | batch  | DIVERGENT    | bd21da2a20bcf33f | 1d6966ef60f01234 |
| kmeans-weighted/denormal     | infer  | DIVERGENT    | 03780e8f5ba1bb21 | 6e45b41674ab3036 |
| kmeans-weighted/denormal     | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-weighted/denormal     | batch  | DIVERGENT    | d4c912e6b87b383e | e72ef6bc3d39fd0f |
| kmeans-weighted/odd          | infer  | DIVERGENT    | 86bea24bd326b655 | 5bc9a2f909aa7c2d |
| kmeans-weighted/odd          | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-weighted/odd          | batch  | DIVERGENT    | 2ac9fe78151082ea | 54388808f8282424 |
| kmeans-weighted/ties         | infer  | DIVERGENT    | f1a40d6c9595a677 | c85f155f51bd2376 |
| kmeans-weighted/ties         | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans-weighted/ties         | batch  | DIVERGENT    | 797f19f2820413c0 | 654d94626202fb62 |
| kmeans/base                  | infer  | DIVERGENT    | 3d50c4c50bf078b2 | d19b76a657c233ee |
| kmeans/base                  | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans/base                  | batch  | DIVERGENT    | ce34789a012168b5 | 667a4f46a420714b |
| kmeans/denormal              | infer  | DIVERGENT    | 9b15ee1cac8ce636 | f96beb06597a08de |
| kmeans/denormal              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans/denormal              | batch  | DIVERGENT    | cd11da38d7d996eb | c3db6bc0029bd858 |
| kmeans/odd                   | infer  | DIVERGENT    | 191287260610940c | 9440665ed914948f |
| kmeans/odd                   | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans/odd                   | batch  | DIVERGENT    | 06c7a23bc000d13d | 8dd75bd2ccc5d89e |
| kmeans/ties                  | infer  | DIVERGENT    | 0e9dcaedec0fcadc | f0a8309520378277 |
| kmeans/ties                  | model  | N/A          | n/a:no-save      | n/a:no-save      |
| kmeans/ties                  | batch  | DIVERGENT    | ff636ffbdf6153fe | cc4ddf2a00165dfb |
| par-kmeans/base              | infer  | ONE-COLUMN   | 3d50c4c50bf078b2 | REFUSED          |
| par-kmeans/base              | model  | N/A          | n/a:no-save      | REFUSED          |
| par-kmeans/base              | batch  | ONE-COLUMN   | ce34789a012168b5 | REFUSED          |
| par-kmeans/denormal          | infer  | ONE-COLUMN   | 9b15ee1cac8ce636 | REFUSED          |
| par-kmeans/denormal          | model  | N/A          | n/a:no-save      | REFUSED          |
| par-kmeans/denormal          | batch  | ONE-COLUMN   | cd11da38d7d996eb | REFUSED          |
| par-kmeans/odd               | infer  | ONE-COLUMN   | 191287260610940c | REFUSED          |
| par-kmeans/odd               | model  | N/A          | n/a:no-save      | REFUSED          |
| par-kmeans/odd               | batch  | ONE-COLUMN   | 06c7a23bc000d13d | REFUSED          |
| par-kmeans/ties              | infer  | ONE-COLUMN   | 0e9dcaedec0fcadc | REFUSED          |
| par-kmeans/ties              | model  | N/A          | n/a:no-save      | REFUSED          |
| par-kmeans/ties              | batch  | ONE-COLUMN   | ff636ffbdf6153fe | REFUSED          |

summary (infer/model): DIVERGENT=24, N/A=36, ONE-COLUMN=4
summary (batch): DIVERGENT=24, N/A=4, ONE-COLUMN=4
summary (rlpair): 
