| lane/fixture                 | verdict    | amd-gfx942-one   | amd-gfx942-two   |
|------------------------------|------------|------------------|------------------|
| par-forest-pool/denormal     | infer  | IDENTICAL x2 | a16073ca3b85a5d2 | a16073ca3b85a5d2 |
| par-forest-pool/denormal     | model  | IDENTICAL x2 | 643565cbd9b19c4d | 643565cbd9b19c4d |
| par-forest-pool/denormal     | batch  | IDENTICAL x2 | 24bf4b97433d291c | 24bf4b97433d291c |
| par-forest-pool/ties         | infer  | IDENTICAL x2 | 07573e0c5d8f05a6 | 07573e0c5d8f05a6 |
| par-forest-pool/ties         | model  | IDENTICAL x2 | 02656c37023bb7cc | 02656c37023bb7cc |
| par-forest-pool/ties         | batch  | IDENTICAL x2 | 5929567e0705cae9 | 5929567e0705cae9 |
| par-gram/base                | infer  | IDENTICAL x2 | 1abba5de9a119349 | 1abba5de9a119349 |
| par-gram/base                | model  | IDENTICAL x2 | 178c907dfad6d09c | 178c907dfad6d09c |
| par-gram/base                | batch  | IDENTICAL x2 | de15ac5c4f20010a | de15ac5c4f20010a |
| par-gram/denormal            | infer  | IDENTICAL x2 | 80ca79528ebd921a | 80ca79528ebd921a |
| par-gram/denormal            | model  | IDENTICAL x2 | c84cf3bce94a5176 | c84cf3bce94a5176 |
| par-gram/denormal            | batch  | IDENTICAL x2 | b4b87a30dd93c61e | b4b87a30dd93c61e |
| par-gram/ties                | infer  | IDENTICAL x2 | c95cdd0955d766e4 | c95cdd0955d766e4 |
| par-gram/ties                | model  | IDENTICAL x2 | 22f29492e9caa894 | 22f29492e9caa894 |
| par-gram/ties                | batch  | IDENTICAL x2 | cb50cffb732dbd73 | cb50cffb732dbd73 |
| par-kmeans/base              | infer  | N/A          | n/a:no-predict   | n/a:no-predict   |
| par-kmeans/base              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| par-kmeans/base              | batch  | N/A          | n/a:no-predict   | n/a:no-predict   |
| par-kmeans/denormal          | infer  | N/A          | n/a:no-predict   | n/a:no-predict   |
| par-kmeans/denormal          | model  | N/A          | n/a:no-save      | n/a:no-save      |
| par-kmeans/denormal          | batch  | N/A          | n/a:no-predict   | n/a:no-predict   |
| par-kmeans/ties              | infer  | N/A          | n/a:no-predict   | n/a:no-predict   |
| par-kmeans/ties              | model  | N/A          | n/a:no-save      | n/a:no-save      |
| par-kmeans/ties              | batch  | N/A          | n/a:no-predict   | n/a:no-predict   |
| par-logistic/base            | infer  | IDENTICAL x2 | b4e980de90197f3f | b4e980de90197f3f |
| par-logistic/base            | model  | IDENTICAL x2 | 777b3eb8432be31c | 777b3eb8432be31c |
| par-logistic/base            | batch  | IDENTICAL x2 | bf9079a5b3ce3176 | bf9079a5b3ce3176 |
| par-logistic/denormal        | infer  | IDENTICAL x2 | d1d072eb7e639e41 | d1d072eb7e639e41 |
| par-logistic/denormal        | model  | IDENTICAL x2 | ce3ea822261f5185 | ce3ea822261f5185 |
