| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| et-clf/wide                  | IDENTICAL x3 | ee8b318d6bf698b2 | ee8b318d6bf698b2 | ee8b318d6bf698b2 |
| et-reg/base                  | IDENTICAL x3 | 754d8c127ecfc04d | 754d8c127ecfc04d | 754d8c127ecfc04d |
| et-reg/denormal              | IDENTICAL x3 | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/denormal_ftz          | IDENTICAL x3 | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/dupes                 | IDENTICAL x3 | 9a63fea590f79a67 | 9a63fea590f79a67 | 9a63fea590f79a67 |
| et-reg/hashed                | IDENTICAL x3 | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f |
| et-reg/negative              | IDENTICAL x3 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 |
| et-reg/odd                   | IDENTICAL x3 | c9fe7c90673c2661 | c9fe7c90673c2661 | c9fe7c90673c2661 |
| et-reg/ties                  | IDENTICAL x3 | e7072e1c8fe0083c | e7072e1c8fe0083c | e7072e1c8fe0083c |
| et-reg/wide                  | IDENTICAL x3 | b745e53515f59cac | b745e53515f59cac | b745e53515f59cac |
| gbdt-depthwise/base          | IDENTICAL x3 | 38726fc0c93c0bff | 38726fc0c93c0bff | 38726fc0c93c0bff |
| gbdt-depthwise/denormal      | IDENTICAL x3 | 64ba350c759ff2e9 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/denormal_ftz  | IDENTICAL x3 | 64ba350c759ff2e9 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/dupes         | IDENTICAL x3 | e521424a96e216cb | e521424a96e216cb | e521424a96e216cb |
| gbdt-depthwise/hashed        | IDENTICAL x3 | 9455870882645f48 | 9455870882645f48 | 9455870882645f48 |
| gbdt-depthwise/negative      | IDENTICAL x3 | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 | d77fc9f6a3eee0a2 |
| gbdt-depthwise/odd           | IDENTICAL x3 | fb9e5c03088814f6 | fb9e5c03088814f6 | fb9e5c03088814f6 |
| gbdt-depthwise/ties          | IDENTICAL x3 | 465cb10f303e005a | 465cb10f303e005a | 465cb10f303e005a |
| gbdt-depthwise/wide          | IDENTICAL x3 | 2a77ec865e62539a | 2a77ec865e62539a | 2a77ec865e62539a |
| gbdt-feature-freq/base       | IDENTICAL x3 | 7d9c56b51213cb42 | 7d9c56b51213cb42 | 7d9c56b51213cb42 |
| gbdt-feature-freq/denormal   | IDENTICAL x3 | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b |
| gbdt-feature-freq/denormal_ftz | IDENTICAL x3 | e7f1da14d1a9794b | e7f1da14d1a9794b | e7f1da14d1a9794b |
| gbdt-feature-freq/dupes      | IDENTICAL x3 | e8c61a9407503755 | e8c61a9407503755 | e8c61a9407503755 |
| gbdt-feature-freq/hashed     | IDENTICAL x3 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 | 9d97a55431b6f8e0 |
| gbdt-feature-freq/negative   | IDENTICAL x3 | 75028913a14bb938 | 75028913a14bb938 | 75028913a14bb938 |
| gbdt-feature-freq/odd        | IDENTICAL x3 | c481331145bfb998 | c481331145bfb998 | c481331145bfb998 |
| gbdt-feature-freq/ties       | IDENTICAL x3 | 57ff9964d1af1d4a | 57ff9964d1af1d4a | 57ff9964d1af1d4a |
| gbdt-feature-freq/wide       | IDENTICAL x3 | c6d7fccba2483372 | c6d7fccba2483372 | c6d7fccba2483372 |
| gbdt-lossguide/base          | IDENTICAL x3 | bc3017cb29615105 | bc3017cb29615105 | bc3017cb29615105 |
| gbdt-lossguide/denormal      | IDENTICAL x3 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/denormal_ftz  | IDENTICAL x3 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/dupes         | IDENTICAL x3 | b1546f9b3c4293a5 | b1546f9b3c4293a5 | b1546f9b3c4293a5 |
| gbdt-lossguide/hashed        | IDENTICAL x3 | 3841103ecb3ac05d | 3841103ecb3ac05d | 3841103ecb3ac05d |
| gbdt-lossguide/negative      | IDENTICAL x3 | 67b332fcf8b5d0dd | 67b332fcf8b5d0dd | 67b332fcf8b5d0dd |
| gbdt-lossguide/odd           | IDENTICAL x3 | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 |
| gbdt-lossguide/ties          | IDENTICAL x3 | 19d199f7bfa16c25 | 19d199f7bfa16c25 | 19d199f7bfa16c25 |
| gbdt-lossguide/wide          | IDENTICAL x3 | b9cc1b2b55425cdc | b9cc1b2b55425cdc | b9cc1b2b55425cdc |
| gbdt-ordered-rmse/base       | IDENTICAL x3 | a6e77b5224108785 | a6e77b5224108785 | a6e77b5224108785 |
| gbdt-ordered-rmse/denormal   | IDENTICAL x3 | 67483c1b821234ac | 67483c1b821234ac | 67483c1b821234ac |
| gbdt-ordered-rmse/denormal_ftz | IDENTICAL x3 | 2a44bb38f86cd4ec | 2a44bb38f86cd4ec | 2a44bb38f86cd4ec |
