name	calls_per_shard	ms_per_shard	share_of_top
envelope.native_call	1.0	903.267	0.5000
envelope.blocks_backward	1.0	471.400	0.2610
envelope.blocks_forward	1.0	230.135	0.1274
bwd.mlp_through_oproj	12.0	219.706	0.1216
bwd.attention	12.0	171.815	0.0951
block.attention_total	12.0	124.910	0.0691
block.mlp_and_residuals	12.0	99.772	0.0552
bwd.after_attention	12.0	79.780	0.0442
attn.core	12.0	75.808	0.0420
attn.fwd_r2_keep_kernel	12.0	72.607	0.0402
attn.bwd_kvgrid_dkdv_pf	12.0	67.964	0.0376
attn.bwd_dq_tiled_pf	12.0	65.170	0.0361
gemm.gateup_dB	24.0	62.874	nan
gemm.gateup_dA	24.0	62.226	nan
gemm.gateup_fwd	24.0	61.790	nan
step.head_backward_da	1.0	58.157	0.0322
gemm.head_dA	1.0	58.147	nan
step.head_forward	1.0	56.591	0.0313
gemm.head_fwd	1.0	56.573	nan
step.head_backward_db	1.0	54.569	0.0302
gemm.head_dB	1.0	54.563	nan
gemm.proj_dA	48.0	49.381	nan
gemm.proj_dB	48.0	47.829	nan
gemm.proj_fwd	48.0	46.804	nan
attn.qkv_proj	12.0	35.497	0.0197
attn.bwd_zdot_estash_dres_pf	12.0	33.979	0.0188
fwd.up_proj	12.0	31.669	0.0175
gemm.down_dB	12.0	31.455	nan
grad.down_dB	12.0	31.455	0.0174
grad.gate_dB	12.0	31.448	0.0174
grad.up_dB	12.0	31.426	0.0174
grad.up_dA	12.0	31.135	0.0172
grad.gate_dA	12.0	31.091	0.0172
gemm.down_dA	12.0	30.936	nan
grad.down_dA	12.0	30.936	0.0171
fwd.down_proj	12.0	30.711	0.0170
gemm.down_fwd	12.0	30.711	nan
fwd.gate_proj	12.0	30.120	0.0167
grad.q_dA	12.0	12.447	0.0069
grad.k_dA	12.0	12.382	0.0069
grad.v_dB	12.0	12.354	0.0068
grad.v_dA	12.0	12.321	0.0068
step.ce_forward	1.0	12.249	0.0068
grad.o_dA	12.0	12.231	0.0068
fwd.q_proj	12.0	12.081	0.0067
grad.o_dB	12.0	11.938	0.0066
grad.k_dB	12.0	11.832	0.0066
grad.q_dB	12.0	11.705	0.0065
fwd.v_proj	12.0	11.694	0.0065
attn.o_proj	12.0	11.673	0.0065
fwd.o_proj	12.0	11.558	0.0064
fwd.k_proj	12.0	11.471	0.0064
step.embedding_backward	1.0	8.798	0.0049
block.norm1	12.0	5.393	0.0030
fwd.norm1	12.0	4.237	0.0023
fwd.norm2	12.0	3.789	0.0021
attn.bwd_regime_scan	12.0	3.537	0.0020
step.ce_backward	1.0	3.075	0.0017
grad.norm2_kernels	12.0	2.635	0.0015
step.validate_after_scan	1.0	2.579	0.0014
grad.norm1_kernels	12.0	2.480	0.0014
attn.fwd_regime_scan	12.0	2.463	0.0014
grad.gate_mul	12.0	1.922	0.0011
attn.rope_and_cache	12.0	1.894	0.0010
step.optimizer	1.0	1.671	0.0009
gemm.norm_dW	24.0	1.519	nan
step.ce_refuse_scan	1.0	1.496	0.0008
grad.rope	12.0	1.098	0.0006
fwd.refuse_call	12.0	1.054	0.0006
fwd.silu	12.0	1.045	0.0006
fwd.gate_mul	12.0	1.019	0.0006
grad.norm2_dW	12.0	0.768	0.0004
attn.bwd_corner_flag	12.0	0.755	0.0004
grad.norm1_dW	12.0	0.750	0.0004
step.unpack_weights	1.0	0.702	0.0004
step.pack_grads	1.0	0.697	0.0004
grad.refuse_scan	12.0	0.696	0.0004
grad.kv_slice	12.0	0.666	0.0004
step.validate_grads_scan	1.0	0.580	0.0003
attn.fwd_corner_flag	12.0	0.570	0.0003
grad.qkv_fanin	12.0	0.512	0.0003
fwd.residual2_add	12.0	0.494	0.0003
grad.gateup_fanin	12.0	0.486	0.0003
grad.x_add	12.0	0.476	0.0003
grad.residual2_copy	12.0	0.474	0.0003
fwd.residual1_add	12.0	0.450	0.0002
attn.bwd_scratch_alloc	12.0	0.237	0.0001
step.upload_inputs	1.0	0.145	0.0001
step.py_flags	1.0	0.107	0.0001
step.embedding_forward	1.0	0.098	0.0001
step.loss_download	1.0	0.040	0.0000
grad.silu	12.0	0.015	0.0000
step.bind_publish	1.0	0.011	0.0000
grad.o_copy	12.0	0.010	0.0000
grad.residual1_add	12.0	0.010	0.0000
bwd.before_attention	12.0	0.008	0.0000
step.bind_final_sync	1.0	0.001	0.0000
# shards timed 2, kept 1; top level (step.* + envelope.*) 1806.366 ms a shard; gemm.* 594.806 ms a shard
