"Kind","Agent_Id","Queue_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","Private_Segment_Size","Group_Segment_Size","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH",1,1,5217,1,11,"extratrees_ported_decisiontree6A6A6A6A_7629de937fd59af7",1,995218734550,995218991707,0,0,128,1,1,67000064,1,1
"KERNEL_DISPATCH",1,1,5217,2,8,"__amd_rocclr_copyBuffer",2,995220230494,995220236934,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,3,8,"__amd_rocclr_copyBuffer",3,995220235974,995220239814,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,4,8,"__amd_rocclr_copyBuffer",4,995220405772,995220409532,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,5,8,"__amd_rocclr_copyBuffer",5,995220408783,995220414143,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,6,8,"__amd_rocclr_copyBuffer",6,995220413992,995220418752,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,7,10,"__amd_rocclr_fillBufferAligned",7,995220430871,995220434791,0,0,256,1,1,3072,1,1
"KERNEL_DISPATCH",1,1,5217,8,12,"extratrees_ported_decisiontree6A6A6A6A_329a4e6d705a998a",8,995220632650,995220659489,0,264,128,1,1,8576,1,1
"KERNEL_DISPATCH",1,1,5217,9,13,"extratrees_ported_decisiontree6A6A6A6A_dd94670477df3753",9,995220886487,995220888727,0,0,64,1,1,384,1,1
"KERNEL_DISPATCH",1,1,5217,10,14,"extratrees_ported_decisiontree6A6A6A6A_4ebbbad78e59a0b7",10,995221132564,995524818129,0,24,128,1,1,67004288,5,1
"KERNEL_DISPATCH",1,1,5217,11,15,"extratrees_ported_decisiontree6A6A6A6A_5aee4290147ac7a3",11,995524852889,995524857529,0,0,64,1,1,384,1,1
"KERNEL_DISPATCH",1,1,5217,12,10,"__amd_rocclr_fillBufferAligned",12,995524857529,995524862207,0,0,256,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,13,16,"extratrees_ported_decisiontree6A6A6A6A_b885a1ff67cfa1f5",13,995524851098,995524868018,0,0,64,1,1,384,1,1
"KERNEL_DISPATCH",1,1,5217,14,8,"__amd_rocclr_copyBuffer",14,995524858309,995524875789,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,15,17,"extratrees_ported_decisiontree6A6A6A6A_f398b0b9c9cfa517",15,995524862178,995524879578,0,0,64,1,1,384,1,1
"KERNEL_DISPATCH",1,1,5217,16,18,"extratrees_ported_decisiontree6A6A6A6A_04434e2786233cb9",16,995524879129,995833582501,0,32,128,1,1,67004288,5,1
"KERNEL_DISPATCH",1,1,5217,17,19,"extratrees_ported_decisiontree6A6A6A6A_11c9649934bf8c9c",17,995833615713,995833621473,0,0,64,1,1,384,1,1
"KERNEL_DISPATCH",1,1,5217,18,20,"extratrees_ported_decisiontree6A6A6A6A_b93721a4549bd7fc",18,995833621473,995833629231,0,0,64,1,1,384,1,1
"KERNEL_DISPATCH",1,1,5217,19,10,"__amd_rocclr_fillBufferAligned",19,995833619641,995833632601,0,0,256,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,20,21,"extratrees_ported_decisiontree6A6A6A6A_1b00ae08b1b84291",20,995833621441,995833638201,0,0,64,1,1,128,1,1
"KERNEL_DISPATCH",1,1,5217,21,22,"extratrees_ported_decisiontree6A6A6A6A_2d5f8fe95fb9641d",21,995833626112,995833642712,0,72,128,1,1,128,67,1
"KERNEL_DISPATCH",1,1,5217,22,8,"__amd_rocclr_copyBuffer",22,995833642151,995833646751,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,23,8,"__amd_rocclr_copyBuffer",23,995833646780,995833651340,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,24,8,"__amd_rocclr_copyBuffer",24,995833651161,995833654961,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,25,8,"__amd_rocclr_copyBuffer",25,995833680911,995833683831,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,26,8,"__amd_rocclr_copyBuffer",26,995833684331,995833688211,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,27,8,"__amd_rocclr_copyBuffer",27,995833736960,995833745440,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,28,8,"__amd_rocclr_copyBuffer",28,995833809679,995833818319,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,29,8,"__amd_rocclr_copyBuffer",29,995833853019,995833861379,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,30,8,"__amd_rocclr_copyBuffer",30,995833896118,995833904918,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,31,23,"extratrees_ported_decisiontree6A6A6A6A_bbd1706c651b6f7a",31,995834805060,995835088257,0,264,128,1,1,67004288,1,1
"KERNEL_DISPATCH",1,1,5217,32,24,"extratrees_ported_decisiontree6A6A6A6A_cb09cb9121de6afc",32,995835088857,995835159296,0,264,128,1,1,8576,1,1
"KERNEL_DISPATCH",1,1,5217,33,25,"extratrees_ported_decisiontree6A6A6A6A_f054e513a6aceab4",33,995835287496,995835672891,0,264,128,1,1,67004288,1,1
"KERNEL_DISPATCH",1,1,5217,34,26,"extratrees_ported_decisiontree6A6A6A6A_1bfb8113fef77e16",34,995835672781,995835926738,0,0,128,1,1,67004288,1,1
"KERNEL_DISPATCH",1,1,5217,35,8,"__amd_rocclr_copyBuffer",35,996056383163,996056390963,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,36,8,"__amd_rocclr_copyBuffer",36,996056417223,996056421063,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,37,8,"__amd_rocclr_copyBuffer",37,996056626641,996056630721,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,38,8,"__amd_rocclr_copyBuffer",38,996056630921,996056636401,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,39,8,"__amd_rocclr_copyBuffer",39,996056636740,996056641540,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,40,10,"__amd_rocclr_fillBufferAligned",40,996056641830,996056646510,0,0,256,1,1,3072,1,1
"KERNEL_DISPATCH",1,1,5217,41,12,"extratrees_ported_decisiontree6A6A6A6A_329a4e6d705a998a",41,996056646630,996056673990,0,264,128,1,1,17152,1,1
"KERNEL_DISPATCH",1,1,5217,42,13,"extratrees_ported_decisiontree6A6A6A6A_dd94670477df3753",42,996056678550,996056682910,0,0,64,1,1,704,1,1
"KERNEL_DISPATCH",1,1,5217,43,14,"extratrees_ported_decisiontree6A6A6A6A_4ebbbad78e59a0b7",43,996056685682,996375498572,0,24,128,1,1,67008896,5,1
"KERNEL_DISPATCH",1,1,5217,44,15,"extratrees_ported_decisiontree6A6A6A6A_5aee4290147ac7a3",44,996375531523,996375536163,0,0,64,1,1,704,1,1
"KERNEL_DISPATCH",1,1,5217,45,10,"__amd_rocclr_fillBufferAligned",45,996375536163,996375540563,0,0,256,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,46,16,"extratrees_ported_decisiontree6A6A6A6A_b885a1ff67cfa1f5",46,996375540563,996375548241,0,0,64,1,1,704,1,1
"KERNEL_DISPATCH",1,1,5217,47,8,"__amd_rocclr_copyBuffer",47,996375540502,996375553622,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,48,17,"extratrees_ported_decisiontree6A6A6A6A_f398b0b9c9cfa517",48,996375540521,996375557241,0,0,64,1,1,704,1,1
"KERNEL_DISPATCH",1,1,5217,49,18,"extratrees_ported_decisiontree6A6A6A6A_04434e2786233cb9",49,996375542868,996690878549,0,32,128,1,1,67008896,5,1
"KERNEL_DISPATCH",1,1,5217,52,10,"__amd_rocclr_fillBufferAligned",52,996690914898,996690921298,0,0,256,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,51,20,"extratrees_ported_decisiontree6A6A6A6A_b93721a4549bd7fc",51,996690912268,996690929068,0,0,64,1,1,704,1,1
"KERNEL_DISPATCH",1,1,5217,50,19,"extratrees_ported_decisiontree6A6A6A6A_11c9649934bf8c9c",50,996690913469,996690919507,0,0,64,1,1,704,1,1
"KERNEL_DISPATCH",1,1,5217,53,21,"extratrees_ported_decisiontree6A6A6A6A_1b00ae08b1b84291",53,996690919948,996690934868,0,0,64,1,1,192,1,1
"KERNEL_DISPATCH",1,1,5217,54,22,"extratrees_ported_decisiontree6A6A6A6A_2d5f8fe95fb9641d",54,996690922258,996690938698,0,72,128,1,1,128,134,1
"KERNEL_DISPATCH",1,1,5217,55,8,"__amd_rocclr_copyBuffer",55,996690938948,996690943388,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,56,8,"__amd_rocclr_copyBuffer",56,996690943758,996690948238,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,57,8,"__amd_rocclr_copyBuffer",57,996690947958,996690951878,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,58,8,"__amd_rocclr_copyBuffer",58,996690977799,996690981038,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,59,8,"__amd_rocclr_copyBuffer",59,996690980438,996690984398,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,60,8,"__amd_rocclr_copyBuffer",60,996691048686,996691055246,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,61,8,"__amd_rocclr_copyBuffer",61,996691128976,996691135536,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,62,8,"__amd_rocclr_copyBuffer",62,996691170697,996691177056,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,63,8,"__amd_rocclr_copyBuffer",63,996691209175,996691215535,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,64,23,"extratrees_ported_decisiontree6A6A6A6A_bbd1706c651b6f7a",64,996691751239,996692030757,0,264,128,1,1,67008896,1,1
"KERNEL_DISPATCH",1,1,5217,65,24,"extratrees_ported_decisiontree6A6A6A6A_cb09cb9121de6afc",65,996692036097,996692104736,0,264,128,1,1,17152,1,1
"KERNEL_DISPATCH",1,1,5217,66,25,"extratrees_ported_decisiontree6A6A6A6A_f054e513a6aceab4",66,996692105067,996692483543,0,264,128,1,1,67008896,1,1
"KERNEL_DISPATCH",1,1,5217,67,26,"extratrees_ported_decisiontree6A6A6A6A_1bfb8113fef77e16",67,996692483423,996692737780,0,0,128,1,1,67008896,1,1
"KERNEL_DISPATCH",1,1,5217,68,8,"__amd_rocclr_copyBuffer",68,996913150556,996913157596,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,69,8,"__amd_rocclr_copyBuffer",69,996913180476,996913184356,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,70,8,"__amd_rocclr_copyBuffer",70,996913390363,996913394763,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,71,8,"__amd_rocclr_copyBuffer",71,996913395143,996913400903,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,72,8,"__amd_rocclr_copyBuffer",72,996913400243,996913404723,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,73,10,"__amd_rocclr_fillBufferAligned",73,996913405373,996913410013,0,0,256,1,1,3072,1,1
"KERNEL_DISPATCH",1,1,5217,74,12,"extratrees_ported_decisiontree6A6A6A6A_329a4e6d705a998a",74,996913409303,996913436343,0,264,128,1,1,33920,1,1
"KERNEL_DISPATCH",1,1,5217,75,13,"extratrees_ported_decisiontree6A6A6A6A_dd94670477df3753",75,996913442303,996913446703,0,0,64,1,1,1344,1,1
"KERNEL_DISPATCH",1,1,5217,76,14,"extratrees_ported_decisiontree6A6A6A6A_4ebbbad78e59a0b7",76,996913448294,997239246505,0,24,128,1,1,67016576,5,1
"KERNEL_DISPATCH",1,1,5217,77,15,"extratrees_ported_decisiontree6A6A6A6A_5aee4290147ac7a3",77,997239276596,997239281196,0,0,64,1,1,1344,1,1
"KERNEL_DISPATCH",1,1,5217,78,10,"__amd_rocclr_fillBufferAligned",78,997239281196,997239285874,0,0,256,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,79,16,"extratrees_ported_decisiontree6A6A6A6A_b885a1ff67cfa1f5",79,997239270145,997239287665,0,0,64,1,1,1344,1,1
"KERNEL_DISPATCH",1,1,5217,80,8,"__amd_rocclr_copyBuffer",80,997239284804,997239300924,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,81,17,"extratrees_ported_decisiontree6A6A6A6A_f398b0b9c9cfa517",81,997239288214,997239305974,0,0,64,1,1,1344,1,1
"KERNEL_DISPATCH",1,1,5217,82,18,"extratrees_ported_decisiontree6A6A6A6A_04434e2786233cb9",82,997239305845,997557075168,0,32,128,1,1,67016576,5,1
"KERNEL_DISPATCH",1,1,5217,84,20,"extratrees_ported_decisiontree6A6A6A6A_b93721a4549bd7fc",84,997557101447,997557120687,0,0,64,1,1,1344,1,1
"KERNEL_DISPATCH",1,1,5217,83,19,"extratrees_ported_decisiontree6A6A6A6A_11c9649934bf8c9c",83,997557110468,997557116626,0,0,64,1,1,1344,1,1
"KERNEL_DISPATCH",1,1,5217,85,10,"__amd_rocclr_fillBufferAligned",85,997557113167,997557130967,0,0,256,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,86,21,"extratrees_ported_decisiontree6A6A6A6A_1b00ae08b1b84291",86,997557118107,997557135467,0,0,64,1,1,320,1,1
"KERNEL_DISPATCH",1,1,5217,87,22,"extratrees_ported_decisiontree6A6A6A6A_2d5f8fe95fb9641d",87,997557135238,997557150678,0,72,128,1,1,128,265,1
"KERNEL_DISPATCH",1,1,5217,88,8,"__amd_rocclr_copyBuffer",88,997557150946,997557155466,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,89,8,"__amd_rocclr_copyBuffer",89,997557155407,997557159927,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,90,8,"__amd_rocclr_copyBuffer",90,997557160377,997557164137,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,91,8,"__amd_rocclr_copyBuffer",91,997557190417,997557193457,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,92,8,"__amd_rocclr_copyBuffer",92,997557193377,997557197337,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,93,8,"__amd_rocclr_copyBuffer",93,997557245076,997557249156,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,94,8,"__amd_rocclr_copyBuffer",94,997557320015,997557324415,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,95,8,"__amd_rocclr_copyBuffer",95,997557363015,997557366695,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,96,8,"__amd_rocclr_copyBuffer",96,997557399604,997557403924,0,0,512,1,1,512,1,1
"KERNEL_DISPATCH",1,1,5217,97,23,"extratrees_ported_decisiontree6A6A6A6A_bbd1706c651b6f7a",97,997557989698,997558290855,0,264,128,1,1,67016576,1,1
"KERNEL_DISPATCH",1,1,5217,98,24,"extratrees_ported_decisiontree6A6A6A6A_cb09cb9121de6afc",98,997558295846,997558361565,0,264,128,1,1,33920,1,1
"KERNEL_DISPATCH",1,1,5217,99,25,"extratrees_ported_decisiontree6A6A6A6A_f054e513a6aceab4",99,997558361215,997558757611,0,264,128,1,1,67016576,1,1
"KERNEL_DISPATCH",1,1,5217,100,26,"extratrees_ported_decisiontree6A6A6A6A_1bfb8113fef77e16",100,997558757841,997559012519,0,0,128,1,1,67016576,1,1
"KERNEL_DISPATCH",1,1,5217,101,8,"__amd_rocclr_copyBuffer",101,997779385995,997779393195,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,102,8,"__amd_rocclr_copyBuffer",102,997779418545,997779422465,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,103,8,"__amd_rocclr_copyBuffer",103,997779626702,997779631062,0,0,512,1,1,1024,1,1
"KERNEL_DISPATCH",1,1,5217,104,8,"__amd_rocclr_copyBuffer",104,997779631772,997779637012,0,0,512,1,1,1024,1,1
