"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"extratrees_ported_decisiontree6A6A6A6A_04434e2786233cb9",286,8791919754,30740978.160839,51.77,3835630,342444387,63487225.007549
"extratrees_ported_decisiontree6A6A6A6A_4ebbbad78e59a0b7",474,8054211890,16992008.206751,47.42,6560,333453251,48082326.465314
"extratrees_ported_decisiontree6A6A6A6A_2d5f8fe95fb9641d",286,24444601,85470.632867,0.1439,15440,99079,14841.655947
"__amd_rocclr_copyBuffer",5250,23296982,4437.520381,0.1372,1800,26800,1133.644245
"extratrees_ported_decisiontree6A6A6A6A_f054e513a6aceab4",286,22465623,78551.129371,0.1323,14319,709432,89746.330458
"extratrees_ported_decisiontree6A6A6A6A_bbd1706c651b6f7a",286,21156521,73973.849650,0.1246,14520,633313,77227.892206
"extratrees_ported_decisiontree6A6A6A6A_329a4e6d705a998a",286,12492627,43680.513986,0.0736,26399,47240,3860.032932
"extratrees_ported_decisiontree6A6A6A6A_1bfb8113fef77e16",286,7250464,25351.272727,0.0427,5080,268597,43625.942913
"__amd_rocclr_fillBufferAligned",1054,5346972,5073.028463,0.0315,3920,25960,2596.796573
"extratrees_ported_decisiontree6A6A6A6A_cb09cb9121de6afc",286,3945269,13794.646853,0.0232,4120,70439,12388.731430
"extratrees_ported_decisiontree6A6A6A6A_b885a1ff67cfa1f5",474,3336416,7038.852321,0.0196,4000,24600,2801.518783
"extratrees_ported_decisiontree6A6A6A6A_2b79237f263b504f",2,2777642,1388821.000000,0.0164,1151863,1625779,335109.217313
"extratrees_ported_decisiontree6A6A6A6A_5aee4290147ac7a3",474,2214936,4672.860759,0.0130,3840,5040,125.660242
"extratrees_ported_decisiontree6A6A6A6A_1b00ae08b1b84291",286,1685147,5892.122378,9.922e-03,4520,22560,3574.782076
"extratrees_ported_decisiontree6A6A6A6A_dd94670477df3753",474,1661557,3505.394515,9.784e-03,1240,6760,1279.751140
"extratrees_ported_decisiontree6A6A6A6A_f398b0b9c9cfa517",286,1625661,5684.129371,9.572e-03,4600,17800,3130.441694
"extratrees_ported_decisiontree6A6A6A6A_b93721a4549bd7fc",286,1516714,5303.195804,8.931e-03,4079,19240,1826.751421
"extratrees_ported_decisiontree6A6A6A6A_11c9649934bf8c9c",286,1394567,4876.108392,8.211e-03,4520,6278,226.796126
"extratrees_ported_decisiontree6A6A6A6A_7629de937fd59af7",2,388956,194478.000000,2.290e-03,131799,257157,88641.491876
